,tic,model,y_test,y_test_prob,y_test_pred
0,CA.PA,LSTM Hao 2020,0,-0.18964165449142456,1
1,CA.PA,LSTM Hao 2020,0,-0.1981276273727417,1
2,CA.PA,LSTM Hao 2020,0,-0.20959727466106415,1
3,CA.PA,LSTM Hao 2020,0,-0.22266292572021484,1
4,CA.PA,LSTM Hao 2020,1,-0.2291097342967987,1
5,CA.PA,LSTM Hao 2020,1,-0.24215254187583923,1
6,CA.PA,LSTM Hao 2020,0,-0.23661431670188904,1
7,CA.PA,LSTM Hao 2020,0,-0.23802825808525085,1
8,CA.PA,LSTM Hao 2020,1,-0.23802658915519714,1
9,CA.PA,LSTM Hao 2020,1,-0.24338868260383606,1
10,CA.PA,LSTM Hao 2020,1,-0.2473551332950592,1
11,CA.PA,LSTM Hao 2020,1,-0.2451707422733307,1
12,CA.PA,LSTM Hao 2020,1,-0.2462843954563141,1
13,CA.PA,LSTM Hao 2020,1,-0.2421560287475586,1
14,CA.PA,LSTM Hao 2020,1,-0.23700249195098877,1
15,CA.PA,LSTM Hao 2020,1,-0.24713146686553955,1
16,CA.PA,LSTM Hao 2020,1,-0.24641463160514832,1
17,CA.PA,LSTM Hao 2020,1,-0.24696007370948792,1
18,CA.PA,LSTM Hao 2020,1,-0.2425379455089569,1
19,CA.PA,LSTM Hao 2020,1,-0.24854201078414917,1
20,CA.PA,LSTM Hao 2020,1,-0.26054421067237854,1
21,CA.PA,LSTM Hao 2020,1,-0.2648746073246002,1
22,CA.PA,LSTM Hao 2020,1,-0.2625458538532257,1
23,CA.PA,LSTM Hao 2020,1,-0.2690284252166748,1
24,CA.PA,LSTM Hao 2020,1,-0.2776677906513214,1
25,CA.PA,LSTM Hao 2020,0,-0.2892385423183441,1
26,CA.PA,LSTM Hao 2020,1,-0.2977100610733032,1
27,CA.PA,LSTM Hao 2020,1,-0.3091833293437958,1
28,CA.PA,LSTM Hao 2020,1,-0.30442294478416443,1
29,CA.PA,LSTM Hao 2020,0,-0.31245139241218567,1
30,CA.PA,LSTM Hao 2020,0,-0.31896379590034485,1
31,CA.PA,LSTM Hao 2020,1,-0.3310568630695343,1
32,CA.PA,LSTM Hao 2020,1,-0.34135308861732483,1
33,CA.PA,LSTM Hao 2020,0,-0.33576422929763794,1
34,CA.PA,LSTM Hao 2020,1,-0.33489999175071716,1
35,CA.PA,LSTM Hao 2020,0,-0.3481108546257019,1
36,CA.PA,LSTM Hao 2020,1,-0.33747610449790955,1
37,CA.PA,LSTM Hao 2020,1,-0.34618741273880005,1
38,CA.PA,LSTM Hao 2020,1,-0.3464386761188507,1
39,CA.PA,LSTM Hao 2020,1,-0.3471733033657074,1
40,CA.PA,LSTM Hao 2020,1,-0.35217466950416565,1
41,CA.PA,LSTM Hao 2020,1,-0.3490528464317322,1
42,CA.PA,LSTM Hao 2020,1,-0.3518003523349762,1
43,CA.PA,LSTM Hao 2020,1,-0.3582112193107605,1
44,CA.PA,LSTM Hao 2020,1,-0.35834506154060364,1
45,CA.PA,LSTM Hao 2020,1,-0.3714011609554291,1
46,CA.PA,LSTM Hao 2020,1,-0.3693573772907257,1
47,CA.PA,LSTM Hao 2020,1,-0.3757212162017822,1
48,CA.PA,LSTM Hao 2020,1,-0.3819359838962555,1
49,CA.PA,LSTM Hao 2020,1,-0.38626736402511597,1
50,CA.PA,LSTM Hao 2020,0,-0.3984341025352478,1
51,CA.PA,LSTM Hao 2020,0,-0.39994850754737854,1
52,CA.PA,LSTM Hao 2020,0,-0.4076891243457794,1
53,CA.PA,LSTM Hao 2020,0,-0.4152251183986664,1
54,CA.PA,LSTM Hao 2020,0,-0.42196089029312134,1
55,CA.PA,LSTM Hao 2020,0,-0.4302542507648468,1
56,CA.PA,LSTM Hao 2020,0,-0.4256998300552368,1
57,CA.PA,LSTM Hao 2020,1,-0.4298912286758423,1
58,CA.PA,LSTM Hao 2020,0,-0.43360480666160583,1
59,CA.PA,LSTM Hao 2020,0,-0.43110737204551697,1
60,CA.PA,LSTM Hao 2020,0,-0.433113694190979,1
61,CA.PA,LSTM Hao 2020,1,-0.43215006589889526,1
62,CA.PA,LSTM Hao 2020,1,-0.4322989583015442,1
63,CA.PA,LSTM Hao 2020,1,-0.4239739179611206,1
64,CA.PA,LSTM Hao 2020,0,-0.42937612533569336,1
65,CA.PA,LSTM Hao 2020,1,-0.4311772584915161,1
66,CA.PA,LSTM Hao 2020,1,-0.42907437682151794,1
67,CA.PA,LSTM Hao 2020,1,-0.4313824474811554,1
68,CA.PA,LSTM Hao 2020,1,-0.4347580373287201,1
69,CA.PA,LSTM Hao 2020,1,-0.43269985914230347,1
70,CA.PA,LSTM Hao 2020,1,-0.44110849499702454,1
71,CA.PA,LSTM Hao 2020,1,-0.437738299369812,1
72,CA.PA,LSTM Hao 2020,1,-0.4435695707798004,1
73,CA.PA,LSTM Hao 2020,1,-0.44432806968688965,1
74,CA.PA,LSTM Hao 2020,1,-0.4481615722179413,1
75,CA.PA,LSTM Hao 2020,1,-0.44374996423721313,1
76,CA.PA,LSTM Hao 2020,1,-0.44920504093170166,1
77,CA.PA,LSTM Hao 2020,0,-0.45338913798332214,0
78,CA.PA,LSTM Hao 2020,0,-0.46094053983688354,0
79,CA.PA,LSTM Hao 2020,0,-0.46637460589408875,0
80,CA.PA,LSTM Hao 2020,0,0.673971951007843,1
81,CA.PA,LSTM Hao 2020,0,0.6577942371368408,0
