,tic,model,y_test,y_test_prob,y_test_pred
0,EN.PA,LSTM Hao 2020,1,-0.961464524269104,0
1,EN.PA,LSTM Hao 2020,1,-0.9411998391151428,0
2,EN.PA,LSTM Hao 2020,0,-0.9675012230873108,0
3,EN.PA,LSTM Hao 2020,1,-0.9505813121795654,0
4,EN.PA,LSTM Hao 2020,0,-0.9960933923721313,0
5,EN.PA,LSTM Hao 2020,0,-1.0009384155273438,0
6,EN.PA,LSTM Hao 2020,0,-0.9267962574958801,0
7,EN.PA,LSTM Hao 2020,1,-0.8804522752761841,0
8,EN.PA,LSTM Hao 2020,1,-0.7936806082725525,1
9,EN.PA,LSTM Hao 2020,1,-0.7923567891120911,1
10,EN.PA,LSTM Hao 2020,0,-0.7768513560295105,1
11,EN.PA,LSTM Hao 2020,1,-0.8051676154136658,1
12,EN.PA,LSTM Hao 2020,1,-0.8084145784378052,1
13,EN.PA,LSTM Hao 2020,1,-0.7744616866111755,1
14,EN.PA,LSTM Hao 2020,0,-0.8271573781967163,0
15,EN.PA,LSTM Hao 2020,1,-0.8124721646308899,1
16,EN.PA,LSTM Hao 2020,1,-0.7491443753242493,1
17,EN.PA,LSTM Hao 2020,1,-0.7328954339027405,1
18,EN.PA,LSTM Hao 2020,1,-0.7049594521522522,1
19,EN.PA,LSTM Hao 2020,1,-0.7310879230499268,1
20,EN.PA,LSTM Hao 2020,1,-0.5960153937339783,1
21,EN.PA,LSTM Hao 2020,1,-0.5794604420661926,1
22,EN.PA,LSTM Hao 2020,1,-0.5911760926246643,1
23,EN.PA,LSTM Hao 2020,1,-0.609769880771637,1
24,EN.PA,LSTM Hao 2020,1,-0.5673331618309021,1
25,EN.PA,LSTM Hao 2020,0,-0.5887269377708435,1
26,EN.PA,LSTM Hao 2020,1,-0.7637138366699219,1
27,EN.PA,LSTM Hao 2020,1,-0.7147297859191895,1
28,EN.PA,LSTM Hao 2020,1,-0.7687633037567139,1
29,EN.PA,LSTM Hao 2020,0,-0.6829885244369507,1
30,EN.PA,LSTM Hao 2020,1,-0.787987470626831,1
31,EN.PA,LSTM Hao 2020,0,-0.782417893409729,1
32,EN.PA,LSTM Hao 2020,1,-0.6977654099464417,1
33,EN.PA,LSTM Hao 2020,0,-0.7256679534912109,1
34,EN.PA,LSTM Hao 2020,0,-0.7477443218231201,1
35,EN.PA,LSTM Hao 2020,0,-0.8347903490066528,0
36,EN.PA,LSTM Hao 2020,0,-0.83183354139328,0
37,EN.PA,LSTM Hao 2020,0,-0.8214094638824463,0
38,EN.PA,LSTM Hao 2020,1,-0.7517768144607544,1
