,tic,model,y_test,y_test_prob,y_test_pred
0,GLE.PA,LSTM3,0,-0.23680296540260315,1
1,GLE.PA,LSTM3,0,-0.25190383195877075,1
2,GLE.PA,LSTM3,0,-0.2678353488445282,1
3,GLE.PA,LSTM3,0,-0.28929391503334045,1
4,GLE.PA,LSTM3,0,-0.31663045287132263,1
5,GLE.PA,LSTM3,0,-0.3438921868801117,1
6,GLE.PA,LSTM3,0,-0.3652927875518799,1
7,GLE.PA,LSTM3,0,-0.38268834352493286,1
8,GLE.PA,LSTM3,0,-0.39312049746513367,1
9,GLE.PA,LSTM3,0,-0.4023909568786621,1
10,GLE.PA,LSTM3,0,-0.41181179881095886,1
11,GLE.PA,LSTM3,0,-0.42379122972488403,1
12,GLE.PA,LSTM3,0,-0.4314309060573578,1
13,GLE.PA,LSTM3,1,-0.433211088180542,1
14,GLE.PA,LSTM3,1,-0.43844279646873474,1
15,GLE.PA,LSTM3,1,-0.4471609890460968,1
16,GLE.PA,LSTM3,1,-0.44236186146736145,1
17,GLE.PA,LSTM3,1,-0.4399302303791046,1
18,GLE.PA,LSTM3,1,-0.43640318512916565,1
19,GLE.PA,LSTM3,1,-0.4385758936405182,1
20,GLE.PA,LSTM3,1,-0.43864893913269043,1
21,GLE.PA,LSTM3,1,-0.43497732281684875,1
22,GLE.PA,LSTM3,1,-0.4330956041812897,1
23,GLE.PA,LSTM3,1,-0.4330497086048126,1
24,GLE.PA,LSTM3,1,-0.4345082938671112,1
25,GLE.PA,LSTM3,1,-0.43777090311050415,1
26,GLE.PA,LSTM3,1,-0.44296666979789734,1
27,GLE.PA,LSTM3,0,-0.4462958574295044,1
28,GLE.PA,LSTM3,0,-0.4514561593532562,1
29,GLE.PA,LSTM3,0,-0.4642397463321686,1
30,GLE.PA,LSTM3,0,-0.48070165514945984,1
31,GLE.PA,LSTM3,0,-0.49414125084877014,1
32,GLE.PA,LSTM3,1,-0.5041226744651794,1
33,GLE.PA,LSTM3,1,-0.5136328339576721,1
34,GLE.PA,LSTM3,1,-0.5249840617179871,1
35,GLE.PA,LSTM3,1,-0.5345258712768555,1
36,GLE.PA,LSTM3,1,-0.5413153171539307,1
37,GLE.PA,LSTM3,1,-0.5501787066459656,1
38,GLE.PA,LSTM3,1,-0.560050368309021,1
39,GLE.PA,LSTM3,1,-0.5724554061889648,1
40,GLE.PA,LSTM3,1,-0.5794260501861572,1
41,GLE.PA,LSTM3,1,-0.5881383419036865,1
42,GLE.PA,LSTM3,1,-0.5942780375480652,1
43,GLE.PA,LSTM3,1,-0.5961667895317078,1
44,GLE.PA,LSTM3,1,-0.597639262676239,1
45,GLE.PA,LSTM3,1,-0.6040335893630981,1
46,GLE.PA,LSTM3,1,-0.6157469153404236,1
47,GLE.PA,LSTM3,1,-0.629889965057373,1
48,GLE.PA,LSTM3,0,-0.6431349515914917,1
49,GLE.PA,LSTM3,0,-0.6576781272888184,1
50,GLE.PA,LSTM3,0,-0.6679747104644775,1
51,GLE.PA,LSTM3,0,-0.674605667591095,1
52,GLE.PA,LSTM3,0,-0.6795305609703064,1
53,GLE.PA,LSTM3,1,-0.6903498768806458,1
54,GLE.PA,LSTM3,1,-0.6995947360992432,1
55,GLE.PA,LSTM3,1,-0.7117114067077637,1
56,GLE.PA,LSTM3,0,-0.725580096244812,1
57,GLE.PA,LSTM3,1,-0.7381804585456848,1
58,GLE.PA,LSTM3,1,-0.7515857219696045,1
59,GLE.PA,LSTM3,1,-0.7586605548858643,1
60,GLE.PA,LSTM3,0,-0.7656890749931335,0
61,GLE.PA,LSTM3,0,-0.77015221118927,0
62,GLE.PA,LSTM3,0,-0.7674264907836914,0
63,GLE.PA,LSTM3,1,-0.7637187838554382,1
64,GLE.PA,LSTM3,1,-0.7640287280082703,1
65,GLE.PA,LSTM3,0,-0.7674908638000488,0
66,GLE.PA,LSTM3,1,-0.7673707604408264,0
67,GLE.PA,LSTM3,0,-0.7721068263053894,0
68,GLE.PA,LSTM3,0,-0.777191162109375,0
69,GLE.PA,LSTM3,0,-0.7797756791114807,0
70,GLE.PA,LSTM3,1,-0.7816501259803772,0
71,GLE.PA,LSTM3,0,-0.7805757522583008,0
72,GLE.PA,LSTM3,1,-0.776157021522522,0
73,GLE.PA,LSTM3,1,-0.7722517251968384,0
74,GLE.PA,LSTM3,1,-0.7662150263786316,0
75,GLE.PA,LSTM3,1,-0.7644813060760498,1
76,GLE.PA,LSTM3,1,-0.7627953886985779,1
77,GLE.PA,LSTM3,0,-0.7652605175971985,0
78,GLE.PA,LSTM3,0,-0.7695916295051575,0
79,GLE.PA,LSTM3,0,-0.7748748064041138,0
80,GLE.PA,LSTM3,1,-0.2188108116388321,1
81,GLE.PA,LSTM3,1,-0.21955308318138123,1
82,GLE.PA,LSTM3,1,-0.22303201258182526,1
83,GLE.PA,LSTM3,1,-0.2258601188659668,1
84,GLE.PA,LSTM3,1,-0.22940325736999512,1
85,GLE.PA,LSTM3,1,-0.2345639169216156,1
86,GLE.PA,LSTM3,1,-0.23970699310302734,1
87,GLE.PA,LSTM3,0,-0.2454986572265625,1
88,GLE.PA,LSTM3,1,-0.2508949935436249,1
89,GLE.PA,LSTM3,0,-0.2556845545768738,1
90,GLE.PA,LSTM3,0,-0.26149165630340576,1
91,GLE.PA,LSTM3,0,-0.26808276772499084,1
92,GLE.PA,LSTM3,0,-0.2750115990638733,1
93,GLE.PA,LSTM3,0,-0.283878356218338,1
94,GLE.PA,LSTM3,0,-0.29384133219718933,1
95,GLE.PA,LSTM3,0,-0.3021584749221802,1
96,GLE.PA,LSTM3,0,-0.3103720247745514,1
97,GLE.PA,LSTM3,0,-0.3157997727394104,1
98,GLE.PA,LSTM3,0,-0.3180405795574188,1
99,GLE.PA,LSTM3,0,-0.32033273577690125,1
100,GLE.PA,LSTM3,1,-0.3205583691596985,1
101,GLE.PA,LSTM3,1,-0.3209492266178131,1
102,GLE.PA,LSTM3,1,-0.32018226385116577,1
103,GLE.PA,LSTM3,1,-0.31707191467285156,1
104,GLE.PA,LSTM3,1,-0.3148437440395355,1
105,GLE.PA,LSTM3,1,-0.3118985593318939,1
106,GLE.PA,LSTM3,1,-0.30651891231536865,1
107,GLE.PA,LSTM3,1,-0.3030779957771301,1
108,GLE.PA,LSTM3,1,-0.29873284697532654,1
109,GLE.PA,LSTM3,1,-0.2956056296825409,1
110,GLE.PA,LSTM3,1,-0.2945064604282379,1
111,GLE.PA,LSTM3,1,-0.293344110250473,1
112,GLE.PA,LSTM3,1,-0.2930223345756531,1
113,GLE.PA,LSTM3,1,-0.2952062487602234,1
114,GLE.PA,LSTM3,1,-0.2987580895423889,1
115,GLE.PA,LSTM3,1,-0.30662351846694946,1
116,GLE.PA,LSTM3,1,-0.31549081206321716,1
117,GLE.PA,LSTM3,0,-0.323099821805954,1
118,GLE.PA,LSTM3,1,-0.33205071091651917,1
119,GLE.PA,LSTM3,0,-0.34098073840141296,1
120,GLE.PA,LSTM3,0,-0.3495379090309143,1
121,GLE.PA,LSTM3,0,-0.35903528332710266,1
122,GLE.PA,LSTM3,0,-0.36596187949180603,1
123,GLE.PA,LSTM3,0,-0.37218934297561646,1
124,GLE.PA,LSTM3,1,-0.3769756853580475,1
125,GLE.PA,LSTM3,0,-0.380945086479187,0
126,GLE.PA,LSTM3,0,-0.38531577587127686,0
127,GLE.PA,LSTM3,0,-0.38997188210487366,0
128,GLE.PA,LSTM3,0,-0.393856406211853,0
129,GLE.PA,LSTM3,0,-0.39701056480407715,0
130,GLE.PA,LSTM3,0,-0.40005239844322205,0
131,GLE.PA,LSTM3,0,-0.400201678276062,0
132,GLE.PA,LSTM3,0,-0.3970451056957245,0
133,GLE.PA,LSTM3,0,-0.3945434093475342,0
134,GLE.PA,LSTM3,0,-0.3908114731311798,0
135,GLE.PA,LSTM3,0,-0.38621988892555237,0
136,GLE.PA,LSTM3,0,-0.3824898898601532,0
137,GLE.PA,LSTM3,0,-0.37981319427490234,0
138,GLE.PA,LSTM3,1,-0.37556466460227966,1
139,GLE.PA,LSTM3,1,-0.3679274618625641,1
140,GLE.PA,LSTM3,1,-0.3598841726779938,1
141,GLE.PA,LSTM3,1,-0.35451409220695496,1
142,GLE.PA,LSTM3,1,-0.34803515672683716,1
143,GLE.PA,LSTM3,1,-0.3427121937274933,1
144,GLE.PA,LSTM3,1,-0.33987951278686523,1
145,GLE.PA,LSTM3,0,-0.3402230143547058,1
146,GLE.PA,LSTM3,0,-0.33889272809028625,1
147,GLE.PA,LSTM3,0,-0.3374426066875458,1
148,GLE.PA,LSTM3,0,-0.3371248245239258,1
149,GLE.PA,LSTM3,0,-0.336690217256546,1
150,GLE.PA,LSTM3,0,-0.3392001688480377,1
151,GLE.PA,LSTM3,0,-0.3420528471469879,1
152,GLE.PA,LSTM3,0,-0.34537890553474426,1
153,GLE.PA,LSTM3,1,-0.35118353366851807,1
154,GLE.PA,LSTM3,1,-0.3536023795604706,1
155,GLE.PA,LSTM3,1,-0.35470473766326904,1
156,GLE.PA,LSTM3,1,-0.35448119044303894,1
157,GLE.PA,LSTM3,1,-0.34894368052482605,1
158,GLE.PA,LSTM3,1,-0.34199169278144836,1
159,GLE.PA,LSTM3,1,-0.33508506417274475,1
160,GLE.PA,LSTM3,0,-0.03943042829632759,0
161,GLE.PA,LSTM3,0,-0.03379780426621437,0
162,GLE.PA,LSTM3,0,-0.028535790741443634,0
163,GLE.PA,LSTM3,1,-0.02147640660405159,0
164,GLE.PA,LSTM3,1,-0.021440085023641586,0
165,GLE.PA,LSTM3,1,-0.02248508855700493,0
166,GLE.PA,LSTM3,1,-0.024189870804548264,0
167,GLE.PA,LSTM3,1,-0.02645900472998619,0
168,GLE.PA,LSTM3,1,-0.02827288582921028,0
169,GLE.PA,LSTM3,1,-0.029922425746917725,0
170,GLE.PA,LSTM3,0,-0.03237416222691536,0
171,GLE.PA,LSTM3,0,-0.0393272303044796,0
172,GLE.PA,LSTM3,0,-0.04824529215693474,0
173,GLE.PA,LSTM3,0,-0.05692257359623909,0
174,GLE.PA,LSTM3,0,-0.06300520896911621,0
175,GLE.PA,LSTM3,0,-0.0663575828075409,0
176,GLE.PA,LSTM3,0,-0.06522487103939056,0
177,GLE.PA,LSTM3,0,-0.06249542906880379,0
