,tic,model,y_test,y_test_prob,y_test_pred
0,KER.PA,LSTM3,0,-0.071928009390831,0
1,KER.PA,LSTM3,0,-0.07494885474443436,0
2,KER.PA,LSTM3,0,-0.07747030258178711,0
3,KER.PA,LSTM3,0,-0.08647016435861588,0
4,KER.PA,LSTM3,0,-0.09429295361042023,0
5,KER.PA,LSTM3,0,-0.10127248615026474,0
6,KER.PA,LSTM3,0,-0.10861744731664658,0
7,KER.PA,LSTM3,0,-0.11273349076509476,0
8,KER.PA,LSTM3,0,-0.11532283574342728,0
9,KER.PA,LSTM3,0,-0.1216161921620369,0
10,KER.PA,LSTM3,0,-0.12519994378089905,0
11,KER.PA,LSTM3,0,-0.12952211499214172,0
12,KER.PA,LSTM3,0,-0.13308188319206238,0
13,KER.PA,LSTM3,0,-0.13148298859596252,0
14,KER.PA,LSTM3,0,-0.13012605905532837,0
15,KER.PA,LSTM3,0,-0.12713083624839783,0
16,KER.PA,LSTM3,1,-0.12582215666770935,0
17,KER.PA,LSTM3,1,-0.12653109431266785,0
18,KER.PA,LSTM3,0,-0.12396999448537827,0
19,KER.PA,LSTM3,0,-0.12188336998224258,0
20,KER.PA,LSTM3,0,-0.1173957958817482,0
21,KER.PA,LSTM3,1,-0.1090717688202858,0
22,KER.PA,LSTM3,1,-0.10497037321329117,0
23,KER.PA,LSTM3,0,-0.10217057913541794,0
24,KER.PA,LSTM3,1,-0.09668909758329391,0
25,KER.PA,LSTM3,1,-0.09310276061296463,0
26,KER.PA,LSTM3,0,-0.08815513551235199,0
27,KER.PA,LSTM3,0,-0.08259862661361694,0
28,KER.PA,LSTM3,0,-0.0783393606543541,0
29,KER.PA,LSTM3,0,-0.07592488080263138,0
30,KER.PA,LSTM3,0,-0.0758453756570816,0
31,KER.PA,LSTM3,0,-0.07814343273639679,0
32,KER.PA,LSTM3,0,-0.07681672275066376,0
33,KER.PA,LSTM3,0,-0.075257807970047,0
34,KER.PA,LSTM3,0,-0.07240310311317444,0
35,KER.PA,LSTM3,0,-0.06906627863645554,0
36,KER.PA,LSTM3,0,-0.0690157413482666,0
37,KER.PA,LSTM3,0,-0.068890780210495,0
38,KER.PA,LSTM3,0,-0.0722934752702713,0
39,KER.PA,LSTM3,1,-0.07409939169883728,0
40,KER.PA,LSTM3,1,-0.07269354909658432,0
41,KER.PA,LSTM3,1,-0.07288222014904022,0
42,KER.PA,LSTM3,1,-0.0721728727221489,0
43,KER.PA,LSTM3,1,-0.06858186423778534,0
44,KER.PA,LSTM3,1,-0.06503542512655258,0
45,KER.PA,LSTM3,1,-0.06264105439186096,0
46,KER.PA,LSTM3,1,-0.05685250461101532,0
47,KER.PA,LSTM3,1,-0.049055762588977814,0
48,KER.PA,LSTM3,1,-0.04204147309064865,0
49,KER.PA,LSTM3,1,-0.034629397094249725,0
50,KER.PA,LSTM3,1,-0.03096523880958557,0
51,KER.PA,LSTM3,0,-0.028045181185007095,0
52,KER.PA,LSTM3,0,-0.026894673705101013,0
53,KER.PA,LSTM3,0,-0.02940358966588974,0
54,KER.PA,LSTM3,0,-0.029740523546934128,0
55,KER.PA,LSTM3,0,-0.02847485989332199,0
56,KER.PA,LSTM3,0,-0.027149368077516556,0
57,KER.PA,LSTM3,0,-0.026749085634946823,0
58,KER.PA,LSTM3,0,-0.02958720549941063,0
59,KER.PA,LSTM3,0,-0.036067988723516464,0
60,KER.PA,LSTM3,0,-0.0447881743311882,0
61,KER.PA,LSTM3,0,-0.05399758368730545,0
