,tic,model,y_test,y_test_prob,y_test_pred
0,ML.PA,LSTM3,1,-0.06638040393590927,1
1,ML.PA,LSTM3,0,-0.06840702891349792,1
2,ML.PA,LSTM3,0,-0.07252956926822662,1
3,ML.PA,LSTM3,1,-0.07770776003599167,1
4,ML.PA,LSTM3,0,-0.08091504871845245,1
5,ML.PA,LSTM3,1,-0.08022085577249527,1
6,ML.PA,LSTM3,0,-0.07955669611692429,1
7,ML.PA,LSTM3,0,-0.07552133500576019,1
8,ML.PA,LSTM3,0,-0.07067573815584183,1
9,ML.PA,LSTM3,0,-0.06985141336917877,1
10,ML.PA,LSTM3,0,-0.07159187644720078,1
11,ML.PA,LSTM3,0,-0.07591457664966583,1
12,ML.PA,LSTM3,0,-0.07792114466428757,1
13,ML.PA,LSTM3,1,-0.07397495210170746,1
14,ML.PA,LSTM3,1,-0.06849375367164612,1
15,ML.PA,LSTM3,1,-0.06654536724090576,1
16,ML.PA,LSTM3,1,-0.06029525399208069,1
17,ML.PA,LSTM3,1,-0.05943530797958374,1
18,ML.PA,LSTM3,1,-0.06245551258325577,1
19,ML.PA,LSTM3,1,-0.06353878974914551,1
20,ML.PA,LSTM3,1,-0.06928811222314835,1
21,ML.PA,LSTM3,1,-0.06557022035121918,1
22,ML.PA,LSTM3,1,-0.06308116018772125,1
23,ML.PA,LSTM3,1,-0.06622105091810226,1
24,ML.PA,LSTM3,1,-0.06792786717414856,1
25,ML.PA,LSTM3,1,-0.07208497077226639,1
26,ML.PA,LSTM3,1,-0.07877758890390396,1
27,ML.PA,LSTM3,1,-0.08594909310340881,1
28,ML.PA,LSTM3,1,-0.09174427390098572,1
29,ML.PA,LSTM3,1,-0.09721200913190842,1
30,ML.PA,LSTM3,0,-0.10513359308242798,1
31,ML.PA,LSTM3,1,-0.11178663372993469,1
32,ML.PA,LSTM3,0,-0.11468450725078583,1
33,ML.PA,LSTM3,0,-0.11936497688293457,1
34,ML.PA,LSTM3,0,-0.12546420097351074,0
35,ML.PA,LSTM3,0,-0.13057337701320648,0
36,ML.PA,LSTM3,0,-0.13940389454364777,0
37,ML.PA,LSTM3,0,-0.1419506072998047,0
38,ML.PA,LSTM3,0,-0.15005354583263397,0
39,ML.PA,LSTM3,0,-0.14944112300872803,0
40,ML.PA,LSTM3,0,-0.14363105595111847,0
41,ML.PA,LSTM3,1,-0.14412103593349457,0
42,ML.PA,LSTM3,1,-0.14094942808151245,0
43,ML.PA,LSTM3,1,-0.13897159695625305,0
44,ML.PA,LSTM3,1,-0.13442794978618622,0
45,ML.PA,LSTM3,1,-0.13662689924240112,0
46,ML.PA,LSTM3,1,-0.14199583232402802,0
47,ML.PA,LSTM3,1,-0.13854096829891205,0
48,ML.PA,LSTM3,1,-0.1410016417503357,0
49,ML.PA,LSTM3,1,-0.13839125633239746,0
50,ML.PA,LSTM3,1,-0.13224326074123383,0
51,ML.PA,LSTM3,0,-0.13197636604309082,0
52,ML.PA,LSTM3,0,-0.13148438930511475,0
53,ML.PA,LSTM3,0,-0.13769489526748657,0
54,ML.PA,LSTM3,0,-0.14268052577972412,0
55,ML.PA,LSTM3,0,-0.14577457308769226,0
56,ML.PA,LSTM3,0,-0.14614254236221313,0
57,ML.PA,LSTM3,0,-0.14361000061035156,0
58,ML.PA,LSTM3,1,-0.13256755471229553,0
59,ML.PA,LSTM3,1,-0.12817847728729248,0
60,ML.PA,LSTM3,1,-0.1254052370786667,0
61,ML.PA,LSTM3,1,-0.12326231598854065,1
62,ML.PA,LSTM3,1,-0.12423981726169586,1
63,ML.PA,LSTM3,1,-0.12246181070804596,1
64,ML.PA,LSTM3,1,-0.12303498387336731,1
65,ML.PA,LSTM3,1,-0.12334708869457245,1
66,ML.PA,LSTM3,1,-0.1183539479970932,1
67,ML.PA,LSTM3,1,-0.11787223815917969,1
68,ML.PA,LSTM3,1,-0.11381764709949493,1
69,ML.PA,LSTM3,1,-0.11221693456172943,1
70,ML.PA,LSTM3,1,-0.11446188390254974,1
71,ML.PA,LSTM3,1,-0.117555171251297,1
72,ML.PA,LSTM3,0,-0.12499856948852539,0
73,ML.PA,LSTM3,0,-0.12934473156929016,0
74,ML.PA,LSTM3,0,-0.13189361989498138,0
75,ML.PA,LSTM3,1,-0.1291068196296692,0
76,ML.PA,LSTM3,0,-0.12865853309631348,0
77,ML.PA,LSTM3,0,-0.12821254134178162,0
78,ML.PA,LSTM3,0,-0.12784436345100403,0
79,ML.PA,LSTM3,0,-0.12959356606006622,0
80,ML.PA,LSTM3,1,-0.019905760884284973,1
81,ML.PA,LSTM3,1,-0.020830418914556503,1
82,ML.PA,LSTM3,1,-0.020515482872724533,1
83,ML.PA,LSTM3,1,-0.02069719508290291,1
84,ML.PA,LSTM3,1,-0.01991114765405655,1
85,ML.PA,LSTM3,1,-0.019861001521348953,1
86,ML.PA,LSTM3,1,-0.02170991525053978,1
87,ML.PA,LSTM3,1,-0.024309366941452026,1
88,ML.PA,LSTM3,1,-0.027495861053466797,1
89,ML.PA,LSTM3,1,-0.030885256826877594,1
90,ML.PA,LSTM3,1,-0.03235676512122154,1
91,ML.PA,LSTM3,0,-0.035182952880859375,1
92,ML.PA,LSTM3,0,-0.03634733334183693,1
93,ML.PA,LSTM3,0,-0.04154174402356148,1
94,ML.PA,LSTM3,0,-0.04583152383565903,1
95,ML.PA,LSTM3,0,-0.05082111805677414,1
96,ML.PA,LSTM3,0,-0.05293635278940201,1
97,ML.PA,LSTM3,0,-0.05203986167907715,1
98,ML.PA,LSTM3,0,-0.0480264276266098,1
99,ML.PA,LSTM3,0,-0.043868739157915115,1
100,ML.PA,LSTM3,1,-0.0416683629155159,1
101,ML.PA,LSTM3,1,-0.03994911536574364,1
102,ML.PA,LSTM3,1,-0.03992447629570961,1
103,ML.PA,LSTM3,1,-0.038673438131809235,1
104,ML.PA,LSTM3,1,-0.03573146462440491,1
105,ML.PA,LSTM3,1,-0.033797476440668106,1
106,ML.PA,LSTM3,1,-0.02957792580127716,1
107,ML.PA,LSTM3,1,-0.03180132806301117,1
108,ML.PA,LSTM3,1,-0.03648452088236809,1
109,ML.PA,LSTM3,1,-0.04304840415716171,1
110,ML.PA,LSTM3,1,-0.053649917244911194,1
111,ML.PA,LSTM3,1,-0.06580517441034317,1
112,ML.PA,LSTM3,1,-0.07533988356590271,1
113,ML.PA,LSTM3,1,-0.08137239515781403,1
114,ML.PA,LSTM3,1,-0.08497545123100281,1
115,ML.PA,LSTM3,1,-0.08670724928379059,1
116,ML.PA,LSTM3,1,-0.08996745944023132,1
117,ML.PA,LSTM3,0,-0.0950966626405716,1
118,ML.PA,LSTM3,1,-0.10356716811656952,1
119,ML.PA,LSTM3,1,-0.11010074615478516,1
120,ML.PA,LSTM3,1,-0.11156204342842102,1
121,ML.PA,LSTM3,1,-0.11086574196815491,1
122,ML.PA,LSTM3,1,-0.10601230710744858,1
123,ML.PA,LSTM3,0,-0.10364847630262375,1
124,ML.PA,LSTM3,1,-0.09964582324028015,1
125,ML.PA,LSTM3,0,-0.1041048988699913,1
126,ML.PA,LSTM3,0,-0.10992266237735748,1
127,ML.PA,LSTM3,0,-0.1200452595949173,0
128,ML.PA,LSTM3,0,-0.124052032828331,0
129,ML.PA,LSTM3,1,-0.12448662519454956,0
130,ML.PA,LSTM3,1,-0.12037090957164764,0
131,ML.PA,LSTM3,1,-0.11287654936313629,1
132,ML.PA,LSTM3,1,-0.10806599259376526,1
133,ML.PA,LSTM3,1,-0.10751590132713318,1
134,ML.PA,LSTM3,1,-0.10915599763393402,1
135,ML.PA,LSTM3,1,-0.11733007431030273,1
136,ML.PA,LSTM3,1,-0.11975428462028503,1
137,ML.PA,LSTM3,1,-0.11916294693946838,1
138,ML.PA,LSTM3,1,-0.11503557860851288,1
139,ML.PA,LSTM3,1,-0.11115695536136627,1
140,ML.PA,LSTM3,1,-0.1094386875629425,1
141,ML.PA,LSTM3,1,-0.11362746357917786,1
142,ML.PA,LSTM3,1,-0.11917202174663544,1
143,ML.PA,LSTM3,0,-0.12722475826740265,0
144,ML.PA,LSTM3,1,-0.1312212496995926,0
145,ML.PA,LSTM3,0,-0.13338863849639893,0
146,ML.PA,LSTM3,0,-0.13283534348011017,0
147,ML.PA,LSTM3,0,-0.1278873234987259,0
148,ML.PA,LSTM3,0,-0.12857525050640106,0
149,ML.PA,LSTM3,0,-0.12893225252628326,0
150,ML.PA,LSTM3,1,-0.12767261266708374,0
151,ML.PA,LSTM3,1,-0.12973040342330933,0
152,ML.PA,LSTM3,1,-0.12880222499370575,0
153,ML.PA,LSTM3,0,-0.1282508373260498,0
154,ML.PA,LSTM3,0,-0.1231144517660141,0
155,ML.PA,LSTM3,1,-0.11587412655353546,1
156,ML.PA,LSTM3,0,-0.1159629225730896,1
157,ML.PA,LSTM3,0,-0.11827832460403442,1
158,ML.PA,LSTM3,0,-0.12433451414108276,0
159,ML.PA,LSTM3,0,-0.12955106794834137,0
160,ML.PA,LSTM3,1,0.01934073492884636,0
161,ML.PA,LSTM3,1,0.01776425540447235,0
162,ML.PA,LSTM3,1,0.01282213069498539,0
163,ML.PA,LSTM3,1,0.012338461354374886,0
164,ML.PA,LSTM3,1,0.011829445138573647,0
165,ML.PA,LSTM3,1,0.009822217747569084,0
166,ML.PA,LSTM3,1,0.009090414270758629,0
167,ML.PA,LSTM3,1,0.004904739558696747,0
168,ML.PA,LSTM3,1,0.0011318735778331757,0
169,ML.PA,LSTM3,1,-0.0034884437918663025,0
170,ML.PA,LSTM3,0,-0.009061787277460098,0
171,ML.PA,LSTM3,1,-0.012381438165903091,0
172,ML.PA,LSTM3,0,-0.01508897915482521,0
173,ML.PA,LSTM3,1,-0.015815775841474533,0
174,ML.PA,LSTM3,0,-0.015889205038547516,0
175,ML.PA,LSTM3,0,-0.01855280250310898,0
176,ML.PA,LSTM3,0,-0.02047983556985855,0
177,ML.PA,LSTM3,0,-0.022213757038116455,0
178,ML.PA,LSTM3,0,-0.025676079094409943,0
179,ML.PA,LSTM3,0,-0.02659018710255623,0
180,ML.PA,LSTM3,0,-0.02795775607228279,0
181,ML.PA,LSTM3,0,-0.02562747895717621,0
182,ML.PA,LSTM3,0,-0.021367128938436508,0
183,ML.PA,LSTM3,0,-0.019664213061332703,0
184,ML.PA,LSTM3,0,-0.01646845042705536,0
185,ML.PA,LSTM3,0,-0.013545606285333633,0
186,ML.PA,LSTM3,0,-0.010522060096263885,0
187,ML.PA,LSTM3,0,-0.004551120102405548,0
188,ML.PA,LSTM3,0,-0.002584736794233322,0
189,ML.PA,LSTM3,0,-0.0003126561641693115,0
190,ML.PA,LSTM3,0,0.0006468798965215683,0
191,ML.PA,LSTM3,0,0.00207480788230896,0
192,ML.PA,LSTM3,0,0.006125913932919502,0
193,ML.PA,LSTM3,1,0.010036583989858627,0
194,ML.PA,LSTM3,0,0.01370331458747387,0
195,ML.PA,LSTM3,0,0.019515614956617355,0
196,ML.PA,LSTM3,1,0.023526430130004883,0
197,ML.PA,LSTM3,0,0.02692047692835331,0
198,ML.PA,LSTM3,0,0.030487127602100372,0
199,ML.PA,LSTM3,0,0.03271573781967163,0
200,ML.PA,LSTM3,0,0.037066247314214706,0
201,ML.PA,LSTM3,0,0.04170799255371094,0
202,ML.PA,LSTM3,0,0.04564575105905533,0
203,ML.PA,LSTM3,0,0.04902643337845802,0
204,ML.PA,LSTM3,0,0.050229571759700775,0
205,ML.PA,LSTM3,0,0.05025215446949005,0
206,ML.PA,LSTM3,0,0.05475829914212227,0
207,ML.PA,LSTM3,0,0.057938408106565475,0
208,ML.PA,LSTM3,0,0.06021494418382645,0
209,ML.PA,LSTM3,0,0.06381762772798538,0
210,ML.PA,LSTM3,0,0.07006163895130157,0
211,ML.PA,LSTM3,0,0.07794716209173203,0
212,ML.PA,LSTM3,0,0.0841275155544281,0
213,ML.PA,LSTM3,1,0.08948243409395218,0
214,ML.PA,LSTM3,0,0.09560516476631165,0
215,ML.PA,LSTM3,1,0.10269966721534729,1
216,ML.PA,LSTM3,1,0.10664792358875275,1
217,ML.PA,LSTM3,1,0.10932952165603638,1
218,ML.PA,LSTM3,1,0.11434626579284668,1
219,ML.PA,LSTM3,1,0.11691133677959442,1
220,ML.PA,LSTM3,1,0.11920444667339325,1
221,ML.PA,LSTM3,1,0.12264293432235718,1
222,ML.PA,LSTM3,1,0.1219678670167923,1
223,ML.PA,LSTM3,1,0.12153217196464539,1
224,ML.PA,LSTM3,1,0.11922666430473328,1
225,ML.PA,LSTM3,1,0.11570392549037933,1
226,ML.PA,LSTM3,1,0.11468245089054108,1
227,ML.PA,LSTM3,1,0.11024554073810577,1
228,ML.PA,LSTM3,1,0.10681295394897461,1
229,ML.PA,LSTM3,1,0.10537777841091156,1
230,ML.PA,LSTM3,1,0.10255958139896393,1
231,ML.PA,LSTM3,0,0.10137489438056946,0
232,ML.PA,LSTM3,0,0.10080286860466003,0
233,ML.PA,LSTM3,0,0.09977319836616516,0
234,ML.PA,LSTM3,0,0.09769240021705627,0
235,ML.PA,LSTM3,0,0.09257350862026215,0
236,ML.PA,LSTM3,0,0.08860345929861069,0
237,ML.PA,LSTM3,0,0.08807633072137833,0
238,ML.PA,LSTM3,0,0.08747522532939911,0
239,ML.PA,LSTM3,0,0.08779171854257584,0
240,ML.PA,LSTM3,1,0.29448944330215454,1
241,ML.PA,LSTM3,1,0.30828893184661865,1
242,ML.PA,LSTM3,1,0.32150888442993164,1
243,ML.PA,LSTM3,0,0.3340905010700226,1
244,ML.PA,LSTM3,0,0.34720075130462646,1
245,ML.PA,LSTM3,0,0.355855256319046,1
246,ML.PA,LSTM3,0,0.3638032078742981,1
247,ML.PA,LSTM3,0,0.3712559640407562,1
248,ML.PA,LSTM3,0,0.37340623140335083,1
249,ML.PA,LSTM3,0,0.3791772425174713,1
250,ML.PA,LSTM3,1,0.3859720230102539,1
251,ML.PA,LSTM3,1,0.3916507959365845,1
252,ML.PA,LSTM3,1,0.4023743271827698,1
253,ML.PA,LSTM3,1,0.4058493971824646,1
254,ML.PA,LSTM3,1,0.41015905141830444,1
255,ML.PA,LSTM3,1,0.41593480110168457,1
256,ML.PA,LSTM3,1,0.41798165440559387,1
257,ML.PA,LSTM3,1,0.4234372675418854,1
258,ML.PA,LSTM3,1,0.42901334166526794,1
259,ML.PA,LSTM3,1,0.42949774861335754,1
260,ML.PA,LSTM3,1,0.42674344778060913,1
261,ML.PA,LSTM3,1,0.4192419946193695,1
262,ML.PA,LSTM3,1,0.41215938329696655,1
263,ML.PA,LSTM3,0,0.40770313143730164,1
264,ML.PA,LSTM3,1,0.4028562307357788,1
265,ML.PA,LSTM3,1,0.40025874972343445,1
266,ML.PA,LSTM3,1,0.3969462513923645,1
267,ML.PA,LSTM3,1,0.3896673321723938,1
268,ML.PA,LSTM3,1,0.3826923370361328,1
269,ML.PA,LSTM3,1,0.3784981369972229,1
270,ML.PA,LSTM3,1,0.3728960156440735,1
271,ML.PA,LSTM3,1,0.3669881522655487,1
272,ML.PA,LSTM3,1,0.36196169257164,1
273,ML.PA,LSTM3,1,0.3529439866542816,1
274,ML.PA,LSTM3,1,0.3443765342235565,1
275,ML.PA,LSTM3,1,0.3368498384952545,1
276,ML.PA,LSTM3,1,0.3304184675216675,1
277,ML.PA,LSTM3,0,0.32384687662124634,1
278,ML.PA,LSTM3,0,0.3145930767059326,1
279,ML.PA,LSTM3,0,0.3046906590461731,1
280,ML.PA,LSTM3,0,0.29830029606819153,1
281,ML.PA,LSTM3,0,0.28701964020729065,1
282,ML.PA,LSTM3,0,0.2820093333721161,1
283,ML.PA,LSTM3,0,0.2797815799713135,1
284,ML.PA,LSTM3,1,0.2780904471874237,1
285,ML.PA,LSTM3,1,0.2781229615211487,1
286,ML.PA,LSTM3,1,0.28043442964553833,1
287,ML.PA,LSTM3,1,0.2870252728462219,1
288,ML.PA,LSTM3,1,0.29224902391433716,1
289,ML.PA,LSTM3,1,0.29612961411476135,1
290,ML.PA,LSTM3,1,0.29889747500419617,1
291,ML.PA,LSTM3,1,0.30336061120033264,1
292,ML.PA,LSTM3,0,0.30493301153182983,1
293,ML.PA,LSTM3,0,0.3045426607131958,1
294,ML.PA,LSTM3,0,0.30419042706489563,1
295,ML.PA,LSTM3,0,0.29960301518440247,1
296,ML.PA,LSTM3,0,0.29377150535583496,1
297,ML.PA,LSTM3,1,0.2869769334793091,1
298,ML.PA,LSTM3,1,0.28193849325180054,1
299,ML.PA,LSTM3,1,0.2826026678085327,1
300,ML.PA,LSTM3,1,0.2838847041130066,1
301,ML.PA,LSTM3,1,0.28828585147857666,1
302,ML.PA,LSTM3,1,0.2880377471446991,1
303,ML.PA,LSTM3,1,0.2878020405769348,1
304,ML.PA,LSTM3,1,0.2851888835430145,1
305,ML.PA,LSTM3,1,0.2805294990539551,1
306,ML.PA,LSTM3,1,0.27964669466018677,1
307,ML.PA,LSTM3,1,0.2736664116382599,1
308,ML.PA,LSTM3,1,0.2674412429332733,1
309,ML.PA,LSTM3,1,0.255719929933548,1
310,ML.PA,LSTM3,1,0.24180971086025238,1
311,ML.PA,LSTM3,1,0.22986210882663727,1
312,ML.PA,LSTM3,1,0.21115213632583618,1
313,ML.PA,LSTM3,1,0.1935260146856308,1
314,ML.PA,LSTM3,1,0.1764851212501526,1
315,ML.PA,LSTM3,1,0.16003642976284027,1
316,ML.PA,LSTM3,1,0.14214901626110077,1
317,ML.PA,LSTM3,1,0.12127351760864258,1
318,ML.PA,LSTM3,0,0.1003735214471817,0
319,ML.PA,LSTM3,0,0.07763225585222244,0
320,ML.PA,LSTM3,1,-0.1222938597202301,1
321,ML.PA,LSTM3,1,-0.11735972762107849,1
322,ML.PA,LSTM3,1,-0.11229701340198517,1
323,ML.PA,LSTM3,1,-0.10773389041423798,1
324,ML.PA,LSTM3,1,-0.10390058159828186,1
325,ML.PA,LSTM3,1,-0.10300417244434357,1
326,ML.PA,LSTM3,1,-0.10682779550552368,1
327,ML.PA,LSTM3,1,-0.10868899524211884,1
328,ML.PA,LSTM3,1,-0.1145453006029129,1
329,ML.PA,LSTM3,0,-0.12371690571308136,1
330,ML.PA,LSTM3,1,-0.13481150567531586,1
331,ML.PA,LSTM3,1,-0.14800070226192474,1
332,ML.PA,LSTM3,1,-0.16137349605560303,1
333,ML.PA,LSTM3,1,-0.17712470889091492,1
334,ML.PA,LSTM3,1,-0.1937965452671051,1
335,ML.PA,LSTM3,1,-0.2084282636642456,1
336,ML.PA,LSTM3,1,-0.2253853678703308,1
337,ML.PA,LSTM3,1,-0.24523833394050598,1
338,ML.PA,LSTM3,1,-0.2639249265193939,1
339,ML.PA,LSTM3,1,-0.28085681796073914,1
340,ML.PA,LSTM3,1,-0.29845863580703735,1
341,ML.PA,LSTM3,1,-0.31690236926078796,1
342,ML.PA,LSTM3,1,-0.3349951505661011,1
343,ML.PA,LSTM3,1,-0.35309889912605286,1
344,ML.PA,LSTM3,1,-0.3678373694419861,1
345,ML.PA,LSTM3,1,-0.38199904561042786,1
346,ML.PA,LSTM3,0,-0.39559927582740784,1
347,ML.PA,LSTM3,0,-0.41037970781326294,1
348,ML.PA,LSTM3,1,-0.42230600118637085,1
349,ML.PA,LSTM3,1,-0.4326448440551758,1
350,ML.PA,LSTM3,1,-0.4435305893421173,1
351,ML.PA,LSTM3,1,-0.4559711515903473,1
352,ML.PA,LSTM3,1,-0.4697357714176178,1
353,ML.PA,LSTM3,1,-0.481143981218338,1
354,ML.PA,LSTM3,1,-0.49329909682273865,1
355,ML.PA,LSTM3,0,-0.5085928440093994,1
