,tic,model,y_test,y_test_prob,y_test_pred
0,MT,LSTM3,1,0.4206652343273163,1
1,MT,LSTM3,1,0.42706647515296936,1
2,MT,LSTM3,1,0.43598541617393494,1
3,MT,LSTM3,1,0.4431743025779724,1
4,MT,LSTM3,1,0.4532606601715088,1
5,MT,LSTM3,1,0.4645185172557831,1
6,MT,LSTM3,1,0.4723244905471802,1
7,MT,LSTM3,1,0.47876259684562683,1
8,MT,LSTM3,1,0.4826113283634186,1
9,MT,LSTM3,1,0.4840252995491028,1
10,MT,LSTM3,1,0.47811445593833923,1
11,MT,LSTM3,1,0.4766086935997009,1
12,MT,LSTM3,1,0.47823846340179443,1
13,MT,LSTM3,1,0.4788879454135895,1
14,MT,LSTM3,1,0.4790492653846741,1
15,MT,LSTM3,1,0.4754614233970642,1
16,MT,LSTM3,1,0.4697496294975281,1
17,MT,LSTM3,1,0.46203529834747314,1
18,MT,LSTM3,0,0.45128732919692993,1
19,MT,LSTM3,0,0.4422939121723175,1
20,MT,LSTM3,0,0.4333159327507019,1
21,MT,LSTM3,0,0.4219287633895874,1
22,MT,LSTM3,0,0.41166698932647705,1
23,MT,LSTM3,0,0.40133586525917053,1
24,MT,LSTM3,1,0.3927950859069824,1
25,MT,LSTM3,1,0.3880293369293213,1
26,MT,LSTM3,1,0.38179871439933777,1
27,MT,LSTM3,1,0.3747715950012207,1
28,MT,LSTM3,1,0.3709872364997864,1
29,MT,LSTM3,1,0.36620670557022095,1
30,MT,LSTM3,1,0.35501739382743835,1
31,MT,LSTM3,0,0.3390967547893524,1
32,MT,LSTM3,0,0.3250025510787964,1
33,MT,LSTM3,0,0.3120264410972595,1
34,MT,LSTM3,0,0.30153390765190125,1
35,MT,LSTM3,0,0.2985672354698181,1
36,MT,LSTM3,0,0.29578977823257446,1
37,MT,LSTM3,0,0.29672834277153015,1
38,MT,LSTM3,0,0.29814988374710083,1
39,MT,LSTM3,0,0.2993486523628235,1
40,MT,LSTM3,0,0.29412710666656494,1
41,MT,LSTM3,0,0.2868068516254425,1
42,MT,LSTM3,1,0.281573086977005,1
43,MT,LSTM3,1,0.2820548415184021,1
44,MT,LSTM3,1,0.28174448013305664,1
45,MT,LSTM3,1,0.283556193113327,1
46,MT,LSTM3,1,0.28506287932395935,1
47,MT,LSTM3,1,0.2786812484264374,1
48,MT,LSTM3,1,0.2699364125728607,1
49,MT,LSTM3,1,0.25862592458724976,1
50,MT,LSTM3,1,0.24973957240581512,1
51,MT,LSTM3,1,0.24467670917510986,1
52,MT,LSTM3,1,0.24184563755989075,1
53,MT,LSTM3,0,0.23954343795776367,1
54,MT,LSTM3,0,0.24159252643585205,1
55,MT,LSTM3,1,0.2447405904531479,1
56,MT,LSTM3,1,0.24576754868030548,1
57,MT,LSTM3,0,0.24497878551483154,1
58,MT,LSTM3,0,0.23517103493213654,1
59,MT,LSTM3,0,0.22468537092208862,1
60,MT,LSTM3,0,0.22058916091918945,1
61,MT,LSTM3,1,0.22111882269382477,1
62,MT,LSTM3,0,0.22047390043735504,1
63,MT,LSTM3,1,0.21770034730434418,1
64,MT,LSTM3,1,0.21172752976417542,1
65,MT,LSTM3,1,0.20658931136131287,1
66,MT,LSTM3,1,0.20255090296268463,1
67,MT,LSTM3,1,0.196644589304924,1
68,MT,LSTM3,1,0.18891675770282745,1
69,MT,LSTM3,1,0.1847911775112152,1
70,MT,LSTM3,1,0.1797010451555252,1
71,MT,LSTM3,1,0.17589157819747925,1
72,MT,LSTM3,1,0.17721308767795563,1
73,MT,LSTM3,1,0.17915862798690796,1
74,MT,LSTM3,1,0.17393554747104645,1
75,MT,LSTM3,1,0.16583174467086792,1
76,MT,LSTM3,1,0.152945414185524,1
77,MT,LSTM3,1,0.1378030925989151,1
78,MT,LSTM3,1,0.1270371526479721,1
79,MT,LSTM3,0,0.11944390088319778,0
80,MT,LSTM3,0,-0.16580140590667725,1
81,MT,LSTM3,1,-0.16613641381263733,1
82,MT,LSTM3,1,-0.16980084776878357,1
83,MT,LSTM3,1,-0.17409950494766235,1
84,MT,LSTM3,1,-0.17544324696063995,1
85,MT,LSTM3,1,-0.17762643098831177,1
86,MT,LSTM3,1,-0.17863360047340393,1
87,MT,LSTM3,1,-0.18410080671310425,1
88,MT,LSTM3,1,-0.19121421873569489,1
89,MT,LSTM3,0,-0.2036750167608261,1
90,MT,LSTM3,0,-0.21828360855579376,1
91,MT,LSTM3,0,-0.2264876663684845,1
92,MT,LSTM3,0,-0.2325212061405182,1
