,tic,model,y_test,y_test_prob,y_test_pred
0,ORA.PA,LSTM3,1,0.016826238483190536,1
1,ORA.PA,LSTM3,1,0.017496328800916672,1
2,ORA.PA,LSTM3,1,0.01851668395102024,1
3,ORA.PA,LSTM3,0,0.016095329076051712,1
4,ORA.PA,LSTM3,0,0.014207289554178715,1
5,ORA.PA,LSTM3,0,0.013256419450044632,1
6,ORA.PA,LSTM3,0,0.010750765912234783,1
7,ORA.PA,LSTM3,0,0.008952680043876171,1
8,ORA.PA,LSTM3,1,0.008656617254018784,1
9,ORA.PA,LSTM3,0,0.006255178712308407,1
10,ORA.PA,LSTM3,1,0.002341168001294136,1
11,ORA.PA,LSTM3,1,-0.0024264706298708916,1
12,ORA.PA,LSTM3,1,-0.006349294446408749,1
13,ORA.PA,LSTM3,1,-0.007784090004861355,1
14,ORA.PA,LSTM3,1,-0.00967553909868002,1
15,ORA.PA,LSTM3,1,-0.009570158086717129,1
16,ORA.PA,LSTM3,1,-0.008189772255718708,1
17,ORA.PA,LSTM3,1,-0.007381684146821499,1
18,ORA.PA,LSTM3,1,-0.006681076250970364,1
19,ORA.PA,LSTM3,1,-0.006321077235043049,1
20,ORA.PA,LSTM3,1,-0.008060031570494175,1
21,ORA.PA,LSTM3,1,-0.0093512749299407,1
22,ORA.PA,LSTM3,1,-0.012263975106179714,1
23,ORA.PA,LSTM3,1,-0.015305283479392529,1
24,ORA.PA,LSTM3,1,-0.019925590604543686,1
25,ORA.PA,LSTM3,0,-0.02841998264193535,1
26,ORA.PA,LSTM3,1,-0.03551925718784332,1
27,ORA.PA,LSTM3,1,-0.04340605437755585,1
28,ORA.PA,LSTM3,1,-0.051420412957668304,1
29,ORA.PA,LSTM3,1,-0.056524649262428284,1
30,ORA.PA,LSTM3,1,-0.06294266879558563,1
31,ORA.PA,LSTM3,1,-0.06832209974527359,1
32,ORA.PA,LSTM3,1,-0.07191076129674911,1
33,ORA.PA,LSTM3,1,-0.07766501605510712,1
34,ORA.PA,LSTM3,1,-0.08119272440671921,1
35,ORA.PA,LSTM3,1,-0.0851692259311676,1
36,ORA.PA,LSTM3,1,-0.08846525102853775,1
37,ORA.PA,LSTM3,1,-0.08707360923290253,1
38,ORA.PA,LSTM3,1,-0.08752770721912384,1
39,ORA.PA,LSTM3,1,-0.08651261031627655,1
40,ORA.PA,LSTM3,1,-0.0847339779138565,1
41,ORA.PA,LSTM3,1,-0.08838336914777756,1
42,ORA.PA,LSTM3,1,-0.09184475243091583,0
43,ORA.PA,LSTM3,1,-0.09815244376659393,0
44,ORA.PA,LSTM3,1,-0.10545720905065536,0
45,ORA.PA,LSTM3,1,-0.11455486714839935,0
46,ORA.PA,LSTM3,1,-0.12305489182472229,0
47,ORA.PA,LSTM3,0,-0.1284981369972229,0
48,ORA.PA,LSTM3,0,-0.1327102929353714,0
49,ORA.PA,LSTM3,0,-0.1384785771369934,0
50,ORA.PA,LSTM3,0,-0.1417437493801117,0
