,tic,model,y_test,y_test_prob,y_test_pred
0,RNO.PA,LSTM Hao 2020,1,-0.18127837777137756,1
1,RNO.PA,LSTM Hao 2020,1,-0.1850881278514862,1
2,RNO.PA,LSTM Hao 2020,0,-0.18802380561828613,1
3,RNO.PA,LSTM Hao 2020,0,-0.18723952770233154,1
4,RNO.PA,LSTM Hao 2020,0,-0.19148090481758118,1
5,RNO.PA,LSTM Hao 2020,0,-0.19979679584503174,1
6,RNO.PA,LSTM Hao 2020,0,-0.20457905530929565,0
7,RNO.PA,LSTM Hao 2020,0,-0.20513397455215454,0
8,RNO.PA,LSTM Hao 2020,0,-0.20673832297325134,0
9,RNO.PA,LSTM Hao 2020,0,-0.2088046669960022,0
10,RNO.PA,LSTM Hao 2020,0,-0.2090921700000763,0
11,RNO.PA,LSTM Hao 2020,0,-0.2075205147266388,0
12,RNO.PA,LSTM Hao 2020,0,-0.21045157313346863,0
13,RNO.PA,LSTM Hao 2020,1,-0.2091594934463501,0
14,RNO.PA,LSTM Hao 2020,1,-0.20686769485473633,0
15,RNO.PA,LSTM Hao 2020,1,-0.20254990458488464,1
16,RNO.PA,LSTM Hao 2020,1,-0.20324480533599854,1
17,RNO.PA,LSTM Hao 2020,1,-0.19548192620277405,1
18,RNO.PA,LSTM Hao 2020,1,-0.18540281057357788,1
19,RNO.PA,LSTM Hao 2020,1,-0.18170875310897827,1
20,RNO.PA,LSTM Hao 2020,1,-0.18040919303894043,1
21,RNO.PA,LSTM Hao 2020,1,-0.17826616764068604,1
22,RNO.PA,LSTM Hao 2020,1,-0.1784670352935791,1
23,RNO.PA,LSTM Hao 2020,1,-0.17428305745124817,1
24,RNO.PA,LSTM Hao 2020,1,-0.17677292227745056,1
25,RNO.PA,LSTM Hao 2020,1,-0.1733788549900055,1
26,RNO.PA,LSTM Hao 2020,1,-0.1704179346561432,1
27,RNO.PA,LSTM Hao 2020,1,-0.16629615426063538,1
28,RNO.PA,LSTM Hao 2020,1,-0.16032743453979492,1
29,RNO.PA,LSTM Hao 2020,1,-0.15819427371025085,1
30,RNO.PA,LSTM Hao 2020,0,-0.15973776578903198,1
31,RNO.PA,LSTM Hao 2020,0,-0.15988999605178833,1
32,RNO.PA,LSTM Hao 2020,0,-0.16296541690826416,1
33,RNO.PA,LSTM Hao 2020,0,-0.15770858526229858,1
34,RNO.PA,LSTM Hao 2020,1,-0.16082894802093506,1
35,RNO.PA,LSTM Hao 2020,1,-0.16515520215034485,1
36,RNO.PA,LSTM Hao 2020,1,-0.16871845722198486,1
37,RNO.PA,LSTM Hao 2020,1,-0.17286020517349243,1
38,RNO.PA,LSTM Hao 2020,1,-0.17493337392807007,1
39,RNO.PA,LSTM Hao 2020,1,-0.18174752593040466,1
40,RNO.PA,LSTM Hao 2020,1,-0.19216680526733398,1
41,RNO.PA,LSTM Hao 2020,1,-0.1931540071964264,1
42,RNO.PA,LSTM Hao 2020,1,-0.1978205144405365,1
43,RNO.PA,LSTM Hao 2020,1,-0.20272701978683472,1
