,tic,model,y_test,y_test_prob,y_test_pred
0,SGO.PA,LSTM Hao 2020,0,-0.9658945798873901,1
1,SGO.PA,LSTM Hao 2020,0,-1.007559061050415,1
2,SGO.PA,LSTM Hao 2020,0,-1.0449116230010986,1
3,SGO.PA,LSTM Hao 2020,1,-1.0772346258163452,1
4,SGO.PA,LSTM Hao 2020,0,-1.102918028831482,1
5,SGO.PA,LSTM Hao 2020,0,-1.1460919380187988,1
6,SGO.PA,LSTM Hao 2020,0,-1.1852810382843018,1
7,SGO.PA,LSTM Hao 2020,0,-1.2183434963226318,1
8,SGO.PA,LSTM Hao 2020,0,-1.2170205116271973,1
9,SGO.PA,LSTM Hao 2020,1,-1.2238332033157349,1
10,SGO.PA,LSTM Hao 2020,0,-1.241901159286499,1
11,SGO.PA,LSTM Hao 2020,0,-1.2633442878723145,1
12,SGO.PA,LSTM Hao 2020,1,-1.2908308506011963,1
13,SGO.PA,LSTM Hao 2020,1,-1.2919565439224243,1
14,SGO.PA,LSTM Hao 2020,1,-1.306809902191162,1
15,SGO.PA,LSTM Hao 2020,1,-1.2975860834121704,1
16,SGO.PA,LSTM Hao 2020,1,-1.3077858686447144,1
17,SGO.PA,LSTM Hao 2020,1,-1.3151254653930664,1
18,SGO.PA,LSTM Hao 2020,1,-1.3057869672775269,1
19,SGO.PA,LSTM Hao 2020,1,-1.3105133771896362,1
20,SGO.PA,LSTM Hao 2020,1,-1.3108563423156738,1
21,SGO.PA,LSTM Hao 2020,1,-1.3176478147506714,1
22,SGO.PA,LSTM Hao 2020,1,-1.3167357444763184,1
23,SGO.PA,LSTM Hao 2020,1,-1.3207582235336304,1
24,SGO.PA,LSTM Hao 2020,1,-1.3207625150680542,1
25,SGO.PA,LSTM Hao 2020,1,-1.3279175758361816,1
26,SGO.PA,LSTM Hao 2020,1,-1.320981502532959,1
27,SGO.PA,LSTM Hao 2020,1,-1.3484928607940674,1
28,SGO.PA,LSTM Hao 2020,1,-1.3517459630966187,1
29,SGO.PA,LSTM Hao 2020,1,-1.3687065839767456,1
30,SGO.PA,LSTM Hao 2020,0,-1.377744436264038,1
31,SGO.PA,LSTM Hao 2020,0,-1.391039252281189,1
32,SGO.PA,LSTM Hao 2020,0,-1.404791235923767,1
33,SGO.PA,LSTM Hao 2020,0,-1.4236342906951904,1
34,SGO.PA,LSTM Hao 2020,1,-1.4331114292144775,1
35,SGO.PA,LSTM Hao 2020,1,-1.4639159440994263,1
36,SGO.PA,LSTM Hao 2020,1,-1.4762651920318604,1
37,SGO.PA,LSTM Hao 2020,1,-1.4825700521469116,1
38,SGO.PA,LSTM Hao 2020,1,-1.4934684038162231,1
39,SGO.PA,LSTM Hao 2020,1,-1.508453130722046,1
40,SGO.PA,LSTM Hao 2020,1,-1.5370949506759644,1
41,SGO.PA,LSTM Hao 2020,0,-1.5439963340759277,1
42,SGO.PA,LSTM Hao 2020,0,-1.5584546327590942,1
43,SGO.PA,LSTM Hao 2020,0,-1.5900437831878662,1
44,SGO.PA,LSTM Hao 2020,1,-1.5739091634750366,1
45,SGO.PA,LSTM Hao 2020,0,-1.5774955749511719,1
46,SGO.PA,LSTM Hao 2020,1,-1.5847941637039185,1
47,SGO.PA,LSTM Hao 2020,1,-1.6014834642410278,1
48,SGO.PA,LSTM Hao 2020,0,-1.6126313209533691,1
49,SGO.PA,LSTM Hao 2020,1,-1.606820821762085,1
50,SGO.PA,LSTM Hao 2020,1,-1.6131244897842407,1
51,SGO.PA,LSTM Hao 2020,1,-1.6252641677856445,1
52,SGO.PA,LSTM Hao 2020,1,-1.6046955585479736,1
53,SGO.PA,LSTM Hao 2020,1,-1.6218845844268799,1
54,SGO.PA,LSTM Hao 2020,1,-1.605658769607544,1
55,SGO.PA,LSTM Hao 2020,1,-1.6255030632019043,1
56,SGO.PA,LSTM Hao 2020,0,-1.6179232597351074,1
57,SGO.PA,LSTM Hao 2020,1,-1.634480357170105,1
58,SGO.PA,LSTM Hao 2020,1,-1.676495909690857,1
59,SGO.PA,LSTM Hao 2020,1,-1.66056489944458,1
60,SGO.PA,LSTM Hao 2020,1,-1.672242522239685,1
61,SGO.PA,LSTM Hao 2020,1,-1.6867046356201172,1
62,SGO.PA,LSTM Hao 2020,1,-1.685091257095337,1
63,SGO.PA,LSTM Hao 2020,1,-1.6812843084335327,1
64,SGO.PA,LSTM Hao 2020,0,-1.6897363662719727,0
65,SGO.PA,LSTM Hao 2020,0,-1.7111045122146606,0
66,SGO.PA,LSTM Hao 2020,0,-1.728002667427063,0
67,SGO.PA,LSTM Hao 2020,0,-1.7127258777618408,0
68,SGO.PA,LSTM Hao 2020,0,-1.7384284734725952,0
69,SGO.PA,LSTM Hao 2020,0,-1.7443283796310425,0
70,SGO.PA,LSTM Hao 2020,0,-1.7394468784332275,0
71,SGO.PA,LSTM Hao 2020,0,-1.750985860824585,0
72,SGO.PA,LSTM Hao 2020,1,-1.7646925449371338,0
73,SGO.PA,LSTM Hao 2020,1,-1.7740449905395508,0
74,SGO.PA,LSTM Hao 2020,1,-1.7701163291931152,0
75,SGO.PA,LSTM Hao 2020,1,-1.771229863166809,0
76,SGO.PA,LSTM Hao 2020,0,-1.7857849597930908,0
77,SGO.PA,LSTM Hao 2020,0,-1.7768776416778564,0
78,SGO.PA,LSTM Hao 2020,0,-1.770978331565857,0
79,SGO.PA,LSTM Hao 2020,0,-1.7744466066360474,0
80,SGO.PA,LSTM Hao 2020,0,-0.10179668664932251,1
81,SGO.PA,LSTM Hao 2020,1,-0.10455808788537979,1
82,SGO.PA,LSTM Hao 2020,1,-0.1097312718629837,1
83,SGO.PA,LSTM Hao 2020,1,-0.11141712963581085,1
84,SGO.PA,LSTM Hao 2020,1,-0.11691775918006897,1
85,SGO.PA,LSTM Hao 2020,1,-0.12113536894321442,1
86,SGO.PA,LSTM Hao 2020,1,-0.12707242369651794,1
87,SGO.PA,LSTM Hao 2020,1,-0.13169743120670319,1
88,SGO.PA,LSTM Hao 2020,1,-0.13125796616077423,1
89,SGO.PA,LSTM Hao 2020,0,-0.13597524166107178,1
90,SGO.PA,LSTM Hao 2020,0,-0.13637298345565796,1
91,SGO.PA,LSTM Hao 2020,0,-0.13600239157676697,1
92,SGO.PA,LSTM Hao 2020,0,-0.1401253640651703,1
93,SGO.PA,LSTM Hao 2020,0,-0.14330747723579407,1
94,SGO.PA,LSTM Hao 2020,0,-0.1461752951145172,1
95,SGO.PA,LSTM Hao 2020,0,-0.15336547791957855,1
96,SGO.PA,LSTM Hao 2020,0,-0.16230130195617676,1
97,SGO.PA,LSTM Hao 2020,0,-0.16689321398735046,1
98,SGO.PA,LSTM Hao 2020,0,-0.17209400236606598,1
99,SGO.PA,LSTM Hao 2020,0,-0.17611177265644073,1
100,SGO.PA,LSTM Hao 2020,1,-0.1761956810951233,1
101,SGO.PA,LSTM Hao 2020,1,-0.17807824909687042,1
102,SGO.PA,LSTM Hao 2020,1,-0.17039115726947784,1
103,SGO.PA,LSTM Hao 2020,1,-0.16512860357761383,1
104,SGO.PA,LSTM Hao 2020,1,-0.16203708946704865,1
105,SGO.PA,LSTM Hao 2020,1,-0.16052459180355072,1
106,SGO.PA,LSTM Hao 2020,1,-0.15561959147453308,1
107,SGO.PA,LSTM Hao 2020,1,-0.15410315990447998,1
108,SGO.PA,LSTM Hao 2020,1,-0.15083396434783936,1
109,SGO.PA,LSTM Hao 2020,1,-0.15034811198711395,1
110,SGO.PA,LSTM Hao 2020,1,-0.14865273237228394,1
111,SGO.PA,LSTM Hao 2020,1,-0.14658385515213013,1
112,SGO.PA,LSTM Hao 2020,1,-0.15012572705745697,1
113,SGO.PA,LSTM Hao 2020,1,-0.1500006467103958,1
114,SGO.PA,LSTM Hao 2020,1,-0.14589211344718933,1
115,SGO.PA,LSTM Hao 2020,1,-0.15146927535533905,1
116,SGO.PA,LSTM Hao 2020,1,-0.153512105345726,1
117,SGO.PA,LSTM Hao 2020,1,-0.15991704165935516,1
118,SGO.PA,LSTM Hao 2020,0,-0.16503940522670746,1
119,SGO.PA,LSTM Hao 2020,0,-0.165383979678154,1
120,SGO.PA,LSTM Hao 2020,0,-0.1752467006444931,1
121,SGO.PA,LSTM Hao 2020,0,-0.17280378937721252,1
122,SGO.PA,LSTM Hao 2020,0,-0.17536719143390656,1
123,SGO.PA,LSTM Hao 2020,0,-0.1835075467824936,1
124,SGO.PA,LSTM Hao 2020,1,-0.18551447987556458,1
125,SGO.PA,LSTM Hao 2020,0,-0.19348101317882538,1
126,SGO.PA,LSTM Hao 2020,0,-0.19497531652450562,1
127,SGO.PA,LSTM Hao 2020,0,-0.20940613746643066,1
128,SGO.PA,LSTM Hao 2020,0,-0.21582382917404175,1
129,SGO.PA,LSTM Hao 2020,0,-0.21728308498859406,1
130,SGO.PA,LSTM Hao 2020,0,-0.2193530946969986,1
131,SGO.PA,LSTM Hao 2020,0,-0.22137907147407532,1
132,SGO.PA,LSTM Hao 2020,1,-0.21520639955997467,1
133,SGO.PA,LSTM Hao 2020,1,-0.21563436090946198,1
134,SGO.PA,LSTM Hao 2020,1,-0.21246492862701416,1
135,SGO.PA,LSTM Hao 2020,1,-0.21755310893058777,1
136,SGO.PA,LSTM Hao 2020,1,-0.21853412687778473,1
137,SGO.PA,LSTM Hao 2020,1,-0.21734872460365295,1
138,SGO.PA,LSTM Hao 2020,1,-0.21813195943832397,1
139,SGO.PA,LSTM Hao 2020,1,-0.21915298700332642,1
140,SGO.PA,LSTM Hao 2020,1,-0.2151840329170227,1
141,SGO.PA,LSTM Hao 2020,1,-0.2091718465089798,1
142,SGO.PA,LSTM Hao 2020,1,-0.21093840897083282,1
143,SGO.PA,LSTM Hao 2020,1,-0.21336150169372559,1
144,SGO.PA,LSTM Hao 2020,1,-0.20948877930641174,1
145,SGO.PA,LSTM Hao 2020,0,-0.2175525575876236,1
146,SGO.PA,LSTM Hao 2020,0,-0.22061127424240112,1
147,SGO.PA,LSTM Hao 2020,0,-0.2265106439590454,1
148,SGO.PA,LSTM Hao 2020,0,-0.22286675870418549,1
149,SGO.PA,LSTM Hao 2020,0,-0.22959813475608826,1
150,SGO.PA,LSTM Hao 2020,1,-0.23184101283550262,1
151,SGO.PA,LSTM Hao 2020,1,-0.23747430741786957,1
152,SGO.PA,LSTM Hao 2020,1,-0.2430267482995987,1
153,SGO.PA,LSTM Hao 2020,1,-0.24868498742580414,1
154,SGO.PA,LSTM Hao 2020,1,-0.24848656356334686,1
155,SGO.PA,LSTM Hao 2020,1,-0.2531859874725342,1
156,SGO.PA,LSTM Hao 2020,1,-0.25336021184921265,1
