,tic,model,y_test,y_test_prob,y_test_pred
0,STLA,LSTM Hao 2020,0,-0.9974642395973206,1
1,STLA,LSTM Hao 2020,0,-1.003771424293518,1
2,STLA,LSTM Hao 2020,1,-1.0089690685272217,1
3,STLA,LSTM Hao 2020,1,-1.0075602531433105,1
4,STLA,LSTM Hao 2020,1,-1.0040087699890137,1
5,STLA,LSTM Hao 2020,1,-0.9944221377372742,1
6,STLA,LSTM Hao 2020,1,-0.9806627631187439,1
7,STLA,LSTM Hao 2020,1,-0.9744049906730652,1
8,STLA,LSTM Hao 2020,1,-0.9676570296287537,1
9,STLA,LSTM Hao 2020,1,-0.9678775668144226,1
10,STLA,LSTM Hao 2020,1,-0.9680782556533813,1
11,STLA,LSTM Hao 2020,1,-0.9659052491188049,1
12,STLA,LSTM Hao 2020,1,-0.9673905968666077,1
13,STLA,LSTM Hao 2020,1,-0.9737111926078796,1
14,STLA,LSTM Hao 2020,1,-0.9765751361846924,1
15,STLA,LSTM Hao 2020,1,-0.9759013652801514,1
16,STLA,LSTM Hao 2020,1,-0.9768359661102295,1
17,STLA,LSTM Hao 2020,1,-0.9750593304634094,1
18,STLA,LSTM Hao 2020,1,-0.978501558303833,1
19,STLA,LSTM Hao 2020,0,-0.9912071824073792,1
20,STLA,LSTM Hao 2020,0,-0.996676504611969,1
21,STLA,LSTM Hao 2020,0,-1.006529688835144,1
22,STLA,LSTM Hao 2020,0,-1.0136878490447998,1
23,STLA,LSTM Hao 2020,0,-1.0189239978790283,1
24,STLA,LSTM Hao 2020,0,-1.0208395719528198,1
25,STLA,LSTM Hao 2020,1,-1.0198944807052612,1
26,STLA,LSTM Hao 2020,1,-1.0216771364212036,1
27,STLA,LSTM Hao 2020,1,-1.021254062652588,1
28,STLA,LSTM Hao 2020,1,-1.030910849571228,1
29,STLA,LSTM Hao 2020,1,-1.048467993736267,1
30,STLA,LSTM Hao 2020,1,-1.0508860349655151,1
31,STLA,LSTM Hao 2020,1,-1.0551934242248535,1
32,STLA,LSTM Hao 2020,0,-1.0638549327850342,1
33,STLA,LSTM Hao 2020,0,-1.0646889209747314,1
34,STLA,LSTM Hao 2020,0,-1.0688835382461548,1
35,STLA,LSTM Hao 2020,0,-1.0711265802383423,1
36,STLA,LSTM Hao 2020,0,-1.0764214992523193,1
37,STLA,LSTM Hao 2020,0,-1.0813344717025757,1
38,STLA,LSTM Hao 2020,0,-1.083774209022522,0
39,STLA,LSTM Hao 2020,0,-1.091460943222046,0
40,STLA,LSTM Hao 2020,0,-1.0902433395385742,0
41,STLA,LSTM Hao 2020,0,-1.0903385877609253,0
42,STLA,LSTM Hao 2020,0,-1.0912495851516724,0
43,STLA,LSTM Hao 2020,0,-1.0900030136108398,0
44,STLA,LSTM Hao 2020,1,-1.085453987121582,0
45,STLA,LSTM Hao 2020,1,-1.0837239027023315,1
46,STLA,LSTM Hao 2020,1,-1.0774409770965576,1
47,STLA,LSTM Hao 2020,1,-1.0752007961273193,1
48,STLA,LSTM Hao 2020,1,-1.0677056312561035,1
49,STLA,LSTM Hao 2020,1,-1.066076636314392,1
50,STLA,LSTM Hao 2020,1,-1.066854476928711,1
51,STLA,LSTM Hao 2020,1,-1.0690126419067383,1
52,STLA,LSTM Hao 2020,1,-1.0758309364318848,1
53,STLA,LSTM Hao 2020,1,-1.0758024454116821,1
54,STLA,LSTM Hao 2020,1,-1.0721393823623657,1
55,STLA,LSTM Hao 2020,1,-1.0739552974700928,1
56,STLA,LSTM Hao 2020,1,-1.0732169151306152,1
57,STLA,LSTM Hao 2020,0,-1.0691683292388916,1
58,STLA,LSTM Hao 2020,0,-1.0645699501037598,1
59,STLA,LSTM Hao 2020,0,-1.0643423795700073,1
60,STLA,LSTM Hao 2020,0,-1.067651391029358,1
61,STLA,LSTM Hao 2020,0,-1.0705877542495728,1
62,STLA,LSTM Hao 2020,0,-1.0745306015014648,1
63,STLA,LSTM Hao 2020,0,-1.073930263519287,1
64,STLA,LSTM Hao 2020,1,-1.0633704662322998,1
65,STLA,LSTM Hao 2020,1,-1.0651750564575195,1
66,STLA,LSTM Hao 2020,1,-1.0659527778625488,1
67,STLA,LSTM Hao 2020,1,-1.0683660507202148,1
68,STLA,LSTM Hao 2020,1,-1.0696988105773926,1
69,STLA,LSTM Hao 2020,1,-1.075168251991272,1
70,STLA,LSTM Hao 2020,1,-1.0836515426635742,1
71,STLA,LSTM Hao 2020,1,-1.0968046188354492,0
72,STLA,LSTM Hao 2020,0,-1.109377145767212,0
73,STLA,LSTM Hao 2020,0,-1.112589716911316,0
74,STLA,LSTM Hao 2020,0,-1.1144980192184448,0
75,STLA,LSTM Hao 2020,0,-1.1146156787872314,0
76,STLA,LSTM Hao 2020,0,-1.1153103113174438,0
77,STLA,LSTM Hao 2020,0,-1.114267349243164,0
78,STLA,LSTM Hao 2020,0,-1.1165533065795898,0
79,STLA,LSTM Hao 2020,0,-1.1179206371307373,0
80,STLA,LSTM Hao 2020,1,-0.06587979942560196,1
81,STLA,LSTM Hao 2020,1,-0.08213736861944199,1
82,STLA,LSTM Hao 2020,1,-0.11925870180130005,1
83,STLA,LSTM Hao 2020,1,-0.15059316158294678,1
84,STLA,LSTM Hao 2020,0,-0.17906542122364044,1
85,STLA,LSTM Hao 2020,1,-0.21195194125175476,1
86,STLA,LSTM Hao 2020,0,-0.21936574578285217,1
87,STLA,LSTM Hao 2020,0,-0.24189108610153198,1
88,STLA,LSTM Hao 2020,0,-0.26032695174217224,1
89,STLA,LSTM Hao 2020,0,-0.2578950822353363,1
90,STLA,LSTM Hao 2020,0,-0.26976478099823,1
91,STLA,LSTM Hao 2020,0,-0.26864108443260193,1
92,STLA,LSTM Hao 2020,0,-0.26113465428352356,1
93,STLA,LSTM Hao 2020,0,-0.2614263594150543,1
94,STLA,LSTM Hao 2020,1,-0.2577615976333618,1
95,STLA,LSTM Hao 2020,1,-0.24932682514190674,1
96,STLA,LSTM Hao 2020,1,-0.2444121539592743,1
97,STLA,LSTM Hao 2020,1,-0.2349250763654709,1
98,STLA,LSTM Hao 2020,1,-0.21626825630664825,1
99,STLA,LSTM Hao 2020,1,-0.18981952965259552,1
100,STLA,LSTM Hao 2020,1,-0.1877407729625702,1
101,STLA,LSTM Hao 2020,1,-0.18509551882743835,1
102,STLA,LSTM Hao 2020,1,-0.18358063697814941,1
103,STLA,LSTM Hao 2020,1,-0.18401914834976196,1
104,STLA,LSTM Hao 2020,1,-0.19876666367053986,1
105,STLA,LSTM Hao 2020,1,-0.2054552435874939,1
106,STLA,LSTM Hao 2020,1,-0.2524275481700897,1
107,STLA,LSTM Hao 2020,1,-0.25887706875801086,1
108,STLA,LSTM Hao 2020,1,-0.29877999424934387,1
109,STLA,LSTM Hao 2020,1,-0.33433255553245544,1
110,STLA,LSTM Hao 2020,1,-0.35551759600639343,1
111,STLA,LSTM Hao 2020,0,-0.4279751479625702,1
112,STLA,LSTM Hao 2020,1,-0.48115047812461853,1
113,STLA,LSTM Hao 2020,1,-0.5109275579452515,1
114,STLA,LSTM Hao 2020,1,-0.5192162990570068,1
115,STLA,LSTM Hao 2020,1,-0.5426692962646484,1
116,STLA,LSTM Hao 2020,1,-0.5446888208389282,0
117,STLA,LSTM Hao 2020,1,-0.512393057346344,1
118,STLA,LSTM Hao 2020,1,-0.5079542398452759,1
119,STLA,LSTM Hao 2020,1,-0.4786641001701355,1
120,STLA,LSTM Hao 2020,1,-0.5092917084693909,1
121,STLA,LSTM Hao 2020,1,-0.48677247762680054,1
122,STLA,LSTM Hao 2020,1,-0.4594191312789917,1
123,STLA,LSTM Hao 2020,0,-0.4378493130207062,1
124,STLA,LSTM Hao 2020,0,-0.34627702832221985,1
125,STLA,LSTM Hao 2020,0,-0.3423638343811035,1
126,STLA,LSTM Hao 2020,0,-0.28844088315963745,1
127,STLA,LSTM Hao 2020,0,-0.28437304496765137,1
128,STLA,LSTM Hao 2020,0,-0.28504568338394165,1
129,STLA,LSTM Hao 2020,0,-0.219259575009346,1
130,STLA,LSTM Hao 2020,0,-0.2058464139699936,1
131,STLA,LSTM Hao 2020,0,-0.22147902846336365,1
132,STLA,LSTM Hao 2020,1,-0.20989295840263367,1
133,STLA,LSTM Hao 2020,1,-0.17562106251716614,1
134,STLA,LSTM Hao 2020,1,-0.13324719667434692,1
135,STLA,LSTM Hao 2020,1,-0.072255440056324,1
136,STLA,LSTM Hao 2020,1,-0.04751768335700035,1
137,STLA,LSTM Hao 2020,1,-0.01793862134218216,1
138,STLA,LSTM Hao 2020,1,0.014285494573414326,1
139,STLA,LSTM Hao 2020,1,0.015565142035484314,1
140,STLA,LSTM Hao 2020,1,0.04874644801020622,1
141,STLA,LSTM Hao 2020,1,0.057521186769008636,1
142,STLA,LSTM Hao 2020,1,0.03905301168560982,1
143,STLA,LSTM Hao 2020,1,0.027312055230140686,1
144,STLA,LSTM Hao 2020,0,-0.010758654214441776,1
145,STLA,LSTM Hao 2020,1,-0.041027624160051346,1
146,STLA,LSTM Hao 2020,1,-0.052107494324445724,1
147,STLA,LSTM Hao 2020,1,-0.07405301928520203,1
148,STLA,LSTM Hao 2020,1,-0.0844963937997818,1
149,STLA,LSTM Hao 2020,1,-0.08989831805229187,1
150,STLA,LSTM Hao 2020,1,-0.10336751490831375,1
151,STLA,LSTM Hao 2020,1,-0.10002319514751434,1
152,STLA,LSTM Hao 2020,1,-0.10414344817399979,1
153,STLA,LSTM Hao 2020,0,-0.1134636402130127,1
154,STLA,LSTM Hao 2020,0,-0.1190619021654129,1
155,STLA,LSTM Hao 2020,1,-0.10700627416372299,1
156,STLA,LSTM Hao 2020,1,-0.11794830858707428,1
157,STLA,LSTM Hao 2020,1,-0.09970048069953918,1
158,STLA,LSTM Hao 2020,1,-0.07734048366546631,1
159,STLA,LSTM Hao 2020,1,-0.060720838606357574,1
160,STLA,LSTM Hao 2020,1,1.0348926782608032,1
161,STLA,LSTM Hao 2020,1,1.0431145429611206,1
162,STLA,LSTM Hao 2020,1,1.0642509460449219,1
163,STLA,LSTM Hao 2020,0,1.0740402936935425,1
164,STLA,LSTM Hao 2020,1,1.0772557258605957,1
165,STLA,LSTM Hao 2020,0,1.0984152555465698,1
166,STLA,LSTM Hao 2020,0,1.0884219408035278,1
167,STLA,LSTM Hao 2020,0,1.109237551689148,1
168,STLA,LSTM Hao 2020,0,1.117696762084961,1
169,STLA,LSTM Hao 2020,0,1.1613550186157227,1
170,STLA,LSTM Hao 2020,0,1.1814730167388916,1
171,STLA,LSTM Hao 2020,0,1.1916216611862183,1
172,STLA,LSTM Hao 2020,0,1.197085976600647,1
173,STLA,LSTM Hao 2020,0,1.193192958831787,1
174,STLA,LSTM Hao 2020,0,1.191720724105835,1
175,STLA,LSTM Hao 2020,0,1.1935229301452637,1
176,STLA,LSTM Hao 2020,0,1.2210301160812378,1
177,STLA,LSTM Hao 2020,0,1.2242891788482666,1
178,STLA,LSTM Hao 2020,0,1.2299704551696777,1
179,STLA,LSTM Hao 2020,0,1.2088749408721924,1
180,STLA,LSTM Hao 2020,0,1.2014307975769043,1
181,STLA,LSTM Hao 2020,0,1.195633053779602,1
182,STLA,LSTM Hao 2020,0,1.173656940460205,1
183,STLA,LSTM Hao 2020,1,1.1670200824737549,1
184,STLA,LSTM Hao 2020,1,1.168407917022705,1
185,STLA,LSTM Hao 2020,1,1.1432902812957764,1
186,STLA,LSTM Hao 2020,1,1.1406490802764893,1
187,STLA,LSTM Hao 2020,1,1.1095892190933228,1
188,STLA,LSTM Hao 2020,1,1.0808556079864502,1
189,STLA,LSTM Hao 2020,1,1.0464485883712769,1
190,STLA,LSTM Hao 2020,0,1.0207607746124268,1
191,STLA,LSTM Hao 2020,1,1.0228219032287598,1
192,STLA,LSTM Hao 2020,1,1.0052876472473145,1
193,STLA,LSTM Hao 2020,1,0.9740477800369263,1
194,STLA,LSTM Hao 2020,1,0.9323091506958008,1
195,STLA,LSTM Hao 2020,1,0.9054486751556396,1
196,STLA,LSTM Hao 2020,1,0.8631327748298645,1
197,STLA,LSTM Hao 2020,1,0.8364587426185608,0
198,STLA,LSTM Hao 2020,0,0.8071560859680176,0
199,STLA,LSTM Hao 2020,0,0.8079830408096313,0
200,STLA,LSTM Hao 2020,0,0.8092371225357056,0
201,STLA,LSTM Hao 2020,0,0.8015729784965515,0
202,STLA,LSTM Hao 2020,0,0.8096505403518677,0
203,STLA,LSTM Hao 2020,0,0.8184346556663513,0
204,STLA,LSTM Hao 2020,0,0.8381880521774292,0
205,STLA,LSTM Hao 2020,0,0.8585519194602966,0
206,STLA,LSTM Hao 2020,0,0.8590236306190491,0
207,STLA,LSTM Hao 2020,0,0.8578701615333557,0
208,STLA,LSTM Hao 2020,0,0.8726679682731628,1
209,STLA,LSTM Hao 2020,0,0.8855289816856384,1
210,STLA,LSTM Hao 2020,1,0.8969630002975464,1
211,STLA,LSTM Hao 2020,0,0.8896230459213257,1
212,STLA,LSTM Hao 2020,1,0.8944758176803589,1
213,STLA,LSTM Hao 2020,0,0.8884108662605286,1
214,STLA,LSTM Hao 2020,1,0.8876932263374329,1
215,STLA,LSTM Hao 2020,0,0.8854416012763977,1
216,STLA,LSTM Hao 2020,1,0.8863922357559204,1
217,STLA,LSTM Hao 2020,0,0.8939567804336548,1
218,STLA,LSTM Hao 2020,1,0.8874045014381409,1
219,STLA,LSTM Hao 2020,1,0.8950019478797913,1
220,STLA,LSTM Hao 2020,1,0.8734302520751953,1
221,STLA,LSTM Hao 2020,1,0.8772481679916382,1
222,STLA,LSTM Hao 2020,1,0.8649234771728516,1
223,STLA,LSTM Hao 2020,1,0.8634665608406067,1
224,STLA,LSTM Hao 2020,1,0.8477782607078552,0
225,STLA,LSTM Hao 2020,1,0.8416228890419006,0
226,STLA,LSTM Hao 2020,0,0.8360313773155212,0
227,STLA,LSTM Hao 2020,0,0.8247740268707275,0
228,STLA,LSTM Hao 2020,0,0.8374979496002197,0
229,STLA,LSTM Hao 2020,0,0.8295467495918274,0
230,STLA,LSTM Hao 2020,0,0.8383498191833496,0
231,STLA,LSTM Hao 2020,0,0.8195236325263977,0
