,tic,model,y_test,y_test_prob,y_test_pred
0,STM.PA,LSTM3,0,-0.15064072608947754,0
1,STM.PA,LSTM3,0,-0.13873018324375153,0
2,STM.PA,LSTM3,1,-0.12448105216026306,0
3,STM.PA,LSTM3,1,-0.112132728099823,0
4,STM.PA,LSTM3,1,-0.10036152601242065,0
5,STM.PA,LSTM3,1,-0.09135675430297852,0
6,STM.PA,LSTM3,0,-0.07859443128108978,0
7,STM.PA,LSTM3,0,-0.06759651005268097,0
8,STM.PA,LSTM3,0,-0.06104152277112007,0
9,STM.PA,LSTM3,0,-0.05847005173563957,0
10,STM.PA,LSTM3,0,-0.054528068751096725,0
11,STM.PA,LSTM3,0,-0.052287813276052475,0
12,STM.PA,LSTM3,0,-0.050336387008428574,0
13,STM.PA,LSTM3,1,-0.047905515879392624,1
14,STM.PA,LSTM3,1,-0.046157438308000565,1
15,STM.PA,LSTM3,1,-0.044388722628355026,1
16,STM.PA,LSTM3,1,-0.04073944315314293,1
17,STM.PA,LSTM3,1,-0.04047100618481636,1
18,STM.PA,LSTM3,1,-0.041986946016550064,1
19,STM.PA,LSTM3,1,-0.041792165488004684,1
20,STM.PA,LSTM3,1,-0.04057907685637474,1
21,STM.PA,LSTM3,1,-0.03527451679110527,1
22,STM.PA,LSTM3,1,-0.02970416471362114,1
23,STM.PA,LSTM3,1,-0.023278463631868362,1
24,STM.PA,LSTM3,1,-0.016749132424592972,1
25,STM.PA,LSTM3,1,-0.017927207052707672,1
26,STM.PA,LSTM3,1,-0.019834809005260468,1
27,STM.PA,LSTM3,0,-0.02271781861782074,1
28,STM.PA,LSTM3,1,-0.025562763214111328,1
29,STM.PA,LSTM3,1,-0.028370235115289688,1
30,STM.PA,LSTM3,0,-0.03343804553151131,1
31,STM.PA,LSTM3,0,-0.03949398174881935,1
32,STM.PA,LSTM3,0,-0.04843946173787117,0
33,STM.PA,LSTM3,0,-0.061696503311395645,0
34,STM.PA,LSTM3,0,-0.07567930221557617,0
35,STM.PA,LSTM3,0,-0.09331607818603516,0
36,STM.PA,LSTM3,0,-0.11051693558692932,0
37,STM.PA,LSTM3,0,-0.12238524854183197,0
38,STM.PA,LSTM3,0,-0.13108637928962708,0
39,STM.PA,LSTM3,1,-0.13988210260868073,0
40,STM.PA,LSTM3,0,-0.14785858988761902,0
41,STM.PA,LSTM3,0,-0.15641292929649353,0
42,STM.PA,LSTM3,0,-0.16073928773403168,0
43,STM.PA,LSTM3,0,-0.16460508108139038,0
44,STM.PA,LSTM3,0,-0.16594696044921875,0
45,STM.PA,LSTM3,0,-0.16509953141212463,0
46,STM.PA,LSTM3,0,-0.1600901037454605,0
47,STM.PA,LSTM3,0,-0.15248046815395355,0
48,STM.PA,LSTM3,0,-0.1460011601448059,0
49,STM.PA,LSTM3,0,-0.1393100619316101,0
50,STM.PA,LSTM3,0,-0.1341582089662552,0
51,STM.PA,LSTM3,0,-0.12845245003700256,0
52,STM.PA,LSTM3,0,-0.12457670271396637,0
53,STM.PA,LSTM3,0,-0.1201333999633789,0
54,STM.PA,LSTM3,0,-0.11314788460731506,0
55,STM.PA,LSTM3,1,-0.10654202103614807,0
56,STM.PA,LSTM3,1,-0.099588543176651,0
57,STM.PA,LSTM3,1,-0.09211055934429169,0
58,STM.PA,LSTM3,0,-0.08346816897392273,0
59,STM.PA,LSTM3,0,-0.07063326239585876,0
60,STM.PA,LSTM3,0,-0.059591103345155716,0
61,STM.PA,LSTM3,0,-0.04568275436758995,1
62,STM.PA,LSTM3,0,-0.02586360275745392,1
63,STM.PA,LSTM3,0,-0.0029881857335567474,1
64,STM.PA,LSTM3,0,0.022533699870109558,1
65,STM.PA,LSTM3,0,0.045387059450149536,1
66,STM.PA,LSTM3,1,0.06171859800815582,1
67,STM.PA,LSTM3,1,0.07309609651565552,1
68,STM.PA,LSTM3,1,0.08483678102493286,1
69,STM.PA,LSTM3,1,0.09725621342658997,1
70,STM.PA,LSTM3,1,0.10866788029670715,1
71,STM.PA,LSTM3,1,0.11809642612934113,1
72,STM.PA,LSTM3,1,0.12629137933254242,1
73,STM.PA,LSTM3,1,0.13410663604736328,1
74,STM.PA,LSTM3,0,0.13699746131896973,1
75,STM.PA,LSTM3,0,0.14033396542072296,1
76,STM.PA,LSTM3,0,0.14214299619197845,1
77,STM.PA,LSTM3,0,0.1430187076330185,1
78,STM.PA,LSTM3,0,0.14552968740463257,1
79,STM.PA,LSTM3,0,0.14608271420001984,1
80,STM.PA,LSTM3,0,-0.05024706572294235,1
81,STM.PA,LSTM3,0,-0.04655288904905319,1
82,STM.PA,LSTM3,1,-0.04659686237573624,1
83,STM.PA,LSTM3,1,-0.050706446170806885,1
84,STM.PA,LSTM3,1,-0.05855818837881088,1
85,STM.PA,LSTM3,1,-0.06686396896839142,1
86,STM.PA,LSTM3,1,-0.07774543017148972,1
87,STM.PA,LSTM3,1,-0.08813555538654327,1
88,STM.PA,LSTM3,1,-0.09894248843193054,1
89,STM.PA,LSTM3,1,-0.11080320179462433,1
90,STM.PA,LSTM3,0,-0.1197374016046524,1
91,STM.PA,LSTM3,0,-0.12592214345932007,1
92,STM.PA,LSTM3,0,-0.12837383151054382,1
93,STM.PA,LSTM3,1,-0.12675517797470093,1
94,STM.PA,LSTM3,1,-0.12330284714698792,1
95,STM.PA,LSTM3,1,-0.11941376328468323,1
96,STM.PA,LSTM3,1,-0.11843135952949524,1
97,STM.PA,LSTM3,1,-0.11854103207588196,1
98,STM.PA,LSTM3,1,-0.11898517608642578,1
99,STM.PA,LSTM3,1,-0.12380936741828918,1
100,STM.PA,LSTM3,1,-0.12974078953266144,1
101,STM.PA,LSTM3,1,-0.13431571424007416,1
102,STM.PA,LSTM3,1,-0.14047546684741974,1
103,STM.PA,LSTM3,1,-0.14417798817157745,1
104,STM.PA,LSTM3,1,-0.14780141413211823,1
105,STM.PA,LSTM3,1,-0.150672048330307,1
106,STM.PA,LSTM3,1,-0.15150804817676544,1
107,STM.PA,LSTM3,1,-0.1545560359954834,1
108,STM.PA,LSTM3,1,-0.1574653834104538,1
109,STM.PA,LSTM3,0,-0.16256313025951385,1
110,STM.PA,LSTM3,0,-0.17365413904190063,1
111,STM.PA,LSTM3,0,-0.18366210162639618,1
112,STM.PA,LSTM3,1,-0.19279418885707855,1
113,STM.PA,LSTM3,0,-0.20210658013820648,1
114,STM.PA,LSTM3,1,-0.21130682528018951,1
115,STM.PA,LSTM3,1,-0.22130213677883148,1
116,STM.PA,LSTM3,1,-0.2288912981748581,1
117,STM.PA,LSTM3,1,-0.23596732318401337,1
118,STM.PA,LSTM3,1,-0.24382509291172028,1
119,STM.PA,LSTM3,1,-0.24983595311641693,1
120,STM.PA,LSTM3,1,-0.25500768423080444,1
121,STM.PA,LSTM3,1,-0.26395630836486816,1
122,STM.PA,LSTM3,1,-0.26987385749816895,1
123,STM.PA,LSTM3,1,-0.2765127420425415,1
124,STM.PA,LSTM3,1,-0.28046900033950806,1
125,STM.PA,LSTM3,1,-0.28453487157821655,1
126,STM.PA,LSTM3,0,-0.2902461886405945,1
127,STM.PA,LSTM3,1,-0.2960021495819092,1
128,STM.PA,LSTM3,1,-0.30499815940856934,1
129,STM.PA,LSTM3,0,-0.3172667622566223,1
130,STM.PA,LSTM3,1,-0.330456018447876,1
131,STM.PA,LSTM3,1,-0.3447656035423279,1
132,STM.PA,LSTM3,1,-0.35724151134490967,1
133,STM.PA,LSTM3,1,-0.37075239419937134,1
134,STM.PA,LSTM3,1,-0.3857809901237488,1
135,STM.PA,LSTM3,1,-0.39958781003952026,1
136,STM.PA,LSTM3,1,-0.4117358326911926,1
137,STM.PA,LSTM3,0,-0.42292457818984985,1
138,STM.PA,LSTM3,0,-0.42918723821640015,1
139,STM.PA,LSTM3,1,-0.43313997983932495,1
140,STM.PA,LSTM3,1,-0.4353836178779602,1
141,STM.PA,LSTM3,0,-0.43762993812561035,0
142,STM.PA,LSTM3,0,-0.440706729888916,0
143,STM.PA,LSTM3,0,-0.44286853075027466,0
144,STM.PA,LSTM3,0,-0.44594091176986694,0
145,STM.PA,LSTM3,0,-0.44922715425491333,0
146,STM.PA,LSTM3,0,-0.4534493088722229,0
147,STM.PA,LSTM3,0,-0.4559399485588074,0
148,STM.PA,LSTM3,0,-0.45726877450942993,0
149,STM.PA,LSTM3,0,-0.4586683511734009,0
150,STM.PA,LSTM3,0,-0.45906633138656616,0
151,STM.PA,LSTM3,0,-0.4590669870376587,0
152,STM.PA,LSTM3,1,-0.4577752351760864,0
153,STM.PA,LSTM3,1,-0.45406442880630493,0
154,STM.PA,LSTM3,1,-0.4471973180770874,0
155,STM.PA,LSTM3,1,-0.44138044118881226,0
156,STM.PA,LSTM3,1,-0.43767446279525757,0
157,STM.PA,LSTM3,1,-0.43208038806915283,1
158,STM.PA,LSTM3,1,-0.42470622062683105,1
159,STM.PA,LSTM3,1,-0.4177795648574829,1
160,STM.PA,LSTM3,1,-0.1647559553384781,0
161,STM.PA,LSTM3,1,-0.16822953522205353,0
162,STM.PA,LSTM3,0,-0.174586683511734,0
163,STM.PA,LSTM3,0,-0.17853255569934845,0
164,STM.PA,LSTM3,0,-0.1827685683965683,0
165,STM.PA,LSTM3,0,-0.18612845242023468,0
166,STM.PA,LSTM3,0,-0.18752805888652802,0
167,STM.PA,LSTM3,0,-0.18630383908748627,0
168,STM.PA,LSTM3,1,-0.18403786420822144,0
169,STM.PA,LSTM3,1,-0.18431535363197327,0
170,STM.PA,LSTM3,0,-0.18673239648342133,0
171,STM.PA,LSTM3,1,-0.19269241392612457,0
172,STM.PA,LSTM3,0,-0.20366132259368896,0
173,STM.PA,LSTM3,0,-0.21601895987987518,0
174,STM.PA,LSTM3,0,-0.22223056852817535,0
175,STM.PA,LSTM3,0,-0.22570134699344635,0
176,STM.PA,LSTM3,0,-0.22623620927333832,0
177,STM.PA,LSTM3,0,-0.22426043450832367,0
178,STM.PA,LSTM3,0,-0.22321896255016327,0
179,STM.PA,LSTM3,0,-0.2174132615327835,0
180,STM.PA,LSTM3,0,-0.21277104318141937,0
181,STM.PA,LSTM3,0,-0.2080669403076172,0
182,STM.PA,LSTM3,0,-0.20019882917404175,0
183,STM.PA,LSTM3,1,-0.19562669098377228,0
184,STM.PA,LSTM3,1,-0.1914193332195282,0
185,STM.PA,LSTM3,1,-0.18528810143470764,0
186,STM.PA,LSTM3,0,-0.179188072681427,0
187,STM.PA,LSTM3,1,-0.1705210953950882,0
188,STM.PA,LSTM3,0,-0.16613554954528809,0
189,STM.PA,LSTM3,0,-0.15910594165325165,0
190,STM.PA,LSTM3,0,-0.15075504779815674,0
191,STM.PA,LSTM3,0,-0.14286328852176666,0
192,STM.PA,LSTM3,1,-0.13106852769851685,0
193,STM.PA,LSTM3,1,-0.1174563318490982,0
194,STM.PA,LSTM3,1,-0.10723118484020233,0
195,STM.PA,LSTM3,1,-0.09563818573951721,0
196,STM.PA,LSTM3,1,-0.08986406028270721,0
197,STM.PA,LSTM3,1,-0.08760462701320648,0
198,STM.PA,LSTM3,1,-0.08583724498748779,0
199,STM.PA,LSTM3,0,-0.08988557755947113,0
200,STM.PA,LSTM3,0,-0.08839789032936096,0
201,STM.PA,LSTM3,0,-0.08554379642009735,0
202,STM.PA,LSTM3,0,-0.08334903419017792,0
203,STM.PA,LSTM3,0,-0.08112353086471558,0
204,STM.PA,LSTM3,0,-0.07564988732337952,0
205,STM.PA,LSTM3,0,-0.06717301905155182,0
206,STM.PA,LSTM3,0,-0.06022031977772713,0
207,STM.PA,LSTM3,0,-0.057938102632761,0
208,STM.PA,LSTM3,0,-0.05492163076996803,0
209,STM.PA,LSTM3,0,-0.05759262666106224,0
210,STM.PA,LSTM3,0,-0.05962216481566429,0
211,STM.PA,LSTM3,0,-0.05628084018826485,0
212,STM.PA,LSTM3,0,-0.04878374561667442,0
213,STM.PA,LSTM3,1,-0.03927351161837578,0
214,STM.PA,LSTM3,1,-0.02428094670176506,0
215,STM.PA,LSTM3,1,-0.009110447019338608,0
216,STM.PA,LSTM3,1,0.011288022622466087,0
217,STM.PA,LSTM3,1,0.02813548780977726,0
218,STM.PA,LSTM3,1,0.04534829035401344,0
219,STM.PA,LSTM3,1,0.06487742066383362,1
220,STM.PA,LSTM3,1,0.08192798495292664,1
221,STM.PA,LSTM3,1,0.09534287452697754,1
222,STM.PA,LSTM3,1,0.10542404651641846,1
223,STM.PA,LSTM3,1,0.11364060640335083,1
224,STM.PA,LSTM3,1,0.11864672601222992,1
225,STM.PA,LSTM3,1,0.1194925457239151,1
226,STM.PA,LSTM3,1,0.1187998503446579,1
227,STM.PA,LSTM3,1,0.11386902630329132,1
228,STM.PA,LSTM3,1,0.10383051633834839,1
229,STM.PA,LSTM3,1,0.09487664699554443,1
230,STM.PA,LSTM3,1,0.08465336263179779,1
231,STM.PA,LSTM3,1,0.07242479920387268,1
232,STM.PA,LSTM3,0,0.05965876579284668,0
233,STM.PA,LSTM3,0,0.046107709407806396,0
234,STM.PA,LSTM3,0,0.03448264300823212,0
235,STM.PA,LSTM3,0,0.022022966295480728,0
236,STM.PA,LSTM3,0,0.011560996994376183,0
237,STM.PA,LSTM3,0,0.0034742671996355057,0
238,STM.PA,LSTM3,1,-0.001545540988445282,0
239,STM.PA,LSTM3,0,-0.0035629011690616608,0
240,STM.PA,LSTM3,0,0.4176061153411865,1
241,STM.PA,LSTM3,0,0.4347282350063324,1
242,STM.PA,LSTM3,1,0.45975640416145325,1
243,STM.PA,LSTM3,1,0.470458984375,1
244,STM.PA,LSTM3,1,0.48006823658943176,1
245,STM.PA,LSTM3,1,0.49458348751068115,1
246,STM.PA,LSTM3,1,0.5127547383308411,1
247,STM.PA,LSTM3,0,0.5353967547416687,1
248,STM.PA,LSTM3,0,0.5574162602424622,1
249,STM.PA,LSTM3,0,0.5865683555603027,1
250,STM.PA,LSTM3,0,0.6223447918891907,1
251,STM.PA,LSTM3,0,0.6594172716140747,1
252,STM.PA,LSTM3,1,0.703257143497467,1
253,STM.PA,LSTM3,0,0.739960253238678,1
254,STM.PA,LSTM3,1,0.7901589274406433,1
255,STM.PA,LSTM3,1,0.8277489542961121,1
256,STM.PA,LSTM3,1,0.8408498764038086,1
257,STM.PA,LSTM3,1,0.8476228713989258,1
258,STM.PA,LSTM3,1,0.8452327847480774,1
259,STM.PA,LSTM3,1,0.8369264006614685,1
260,STM.PA,LSTM3,1,0.8298183679580688,1
261,STM.PA,LSTM3,1,0.8268553614616394,1
262,STM.PA,LSTM3,1,0.8294661641120911,1
263,STM.PA,LSTM3,1,0.8302174806594849,1
264,STM.PA,LSTM3,1,0.8344204425811768,1
265,STM.PA,LSTM3,1,0.8377261161804199,1
266,STM.PA,LSTM3,1,0.8346383571624756,1
267,STM.PA,LSTM3,1,0.8244961500167847,1
268,STM.PA,LSTM3,1,0.8046029806137085,1
269,STM.PA,LSTM3,1,0.7801718711853027,1
270,STM.PA,LSTM3,1,0.7590270042419434,1
271,STM.PA,LSTM3,1,0.7352401614189148,1
272,STM.PA,LSTM3,1,0.7149187326431274,1
273,STM.PA,LSTM3,1,0.7001285552978516,1
274,STM.PA,LSTM3,1,0.6862026453018188,1
275,STM.PA,LSTM3,1,0.6626995801925659,1
276,STM.PA,LSTM3,1,0.6364331841468811,1
277,STM.PA,LSTM3,1,0.6137427687644958,1
278,STM.PA,LSTM3,1,0.5894525051116943,1
279,STM.PA,LSTM3,0,0.5598469376564026,1
280,STM.PA,LSTM3,0,0.535144031047821,1
281,STM.PA,LSTM3,0,0.5061335563659668,1
282,STM.PA,LSTM3,0,0.4782581031322479,1
283,STM.PA,LSTM3,1,0.4625231623649597,1
284,STM.PA,LSTM3,1,0.4503943622112274,1
285,STM.PA,LSTM3,1,0.4413197934627533,1
286,STM.PA,LSTM3,1,0.4346875250339508,1
287,STM.PA,LSTM3,1,0.4343324899673462,1
288,STM.PA,LSTM3,1,0.4254482388496399,1
289,STM.PA,LSTM3,1,0.4136848747730255,1
290,STM.PA,LSTM3,0,0.39919909834861755,1
291,STM.PA,LSTM3,1,0.3890968859195709,1
292,STM.PA,LSTM3,0,0.3829002380371094,1
293,STM.PA,LSTM3,0,0.3817010223865509,1
294,STM.PA,LSTM3,1,0.38746848702430725,1
295,STM.PA,LSTM3,1,0.39443615078926086,1
296,STM.PA,LSTM3,1,0.4019172787666321,1
297,STM.PA,LSTM3,1,0.40661439299583435,1
298,STM.PA,LSTM3,1,0.40328100323677063,1
299,STM.PA,LSTM3,1,0.4008646011352539,1
300,STM.PA,LSTM3,1,0.39165475964546204,1
301,STM.PA,LSTM3,1,0.3746018409729004,1
302,STM.PA,LSTM3,1,0.35427093505859375,1
303,STM.PA,LSTM3,1,0.33460938930511475,1
304,STM.PA,LSTM3,1,0.3147481083869934,1
305,STM.PA,LSTM3,1,0.30045509338378906,1
306,STM.PA,LSTM3,1,0.29291778802871704,1
307,STM.PA,LSTM3,1,0.2847152054309845,1
308,STM.PA,LSTM3,1,0.2709684669971466,1
309,STM.PA,LSTM3,1,0.25538551807403564,1
310,STM.PA,LSTM3,1,0.23334579169750214,1
311,STM.PA,LSTM3,1,0.21094103157520294,1
312,STM.PA,LSTM3,1,0.1821751445531845,1
313,STM.PA,LSTM3,1,0.1454741507768631,1
314,STM.PA,LSTM3,1,0.10120998322963715,1
315,STM.PA,LSTM3,1,0.06308910250663757,1
316,STM.PA,LSTM3,1,0.03290295973420143,1
317,STM.PA,LSTM3,1,-0.005746874958276749,1
318,STM.PA,LSTM3,1,-0.043952468782663345,1
319,STM.PA,LSTM3,1,-0.08033564686775208,0
320,STM.PA,LSTM3,1,-0.8525524735450745,1
321,STM.PA,LSTM3,1,-0.8687952160835266,1
322,STM.PA,LSTM3,1,-0.880042314529419,1
323,STM.PA,LSTM3,1,-0.889962911605835,1
324,STM.PA,LSTM3,1,-0.9023080468177795,1
325,STM.PA,LSTM3,1,-0.9258949756622314,1
326,STM.PA,LSTM3,1,-0.9584266543388367,1
327,STM.PA,LSTM3,1,-0.9878448843955994,1
328,STM.PA,LSTM3,1,-1.0177874565124512,1
329,STM.PA,LSTM3,0,-1.063559889793396,1
330,STM.PA,LSTM3,0,-1.1117430925369263,1
331,STM.PA,LSTM3,0,-1.1548776626586914,1
332,STM.PA,LSTM3,0,-1.1938800811767578,1
333,STM.PA,LSTM3,0,-1.2413825988769531,1
334,STM.PA,LSTM3,0,-1.2825398445129395,1
335,STM.PA,LSTM3,0,-1.3195831775665283,1
336,STM.PA,LSTM3,1,-1.3556870222091675,1
337,STM.PA,LSTM3,1,-1.3893755674362183,1
338,STM.PA,LSTM3,1,-1.4272792339324951,0
339,STM.PA,LSTM3,1,-1.470022201538086,0
340,STM.PA,LSTM3,1,-1.5061217546463013,0
341,STM.PA,LSTM3,1,-1.5340174436569214,0
342,STM.PA,LSTM3,1,-1.5460706949234009,0
343,STM.PA,LSTM3,1,-1.541290044784546,0
344,STM.PA,LSTM3,1,-1.5243676900863647,0
