,tic,model,y_test,y_test_prob,y_test_pred
0,URW.AS,LSTM Hao 2020,0,-0.13382472097873688,0
1,URW.AS,LSTM Hao 2020,0,-0.13856396079063416,0
2,URW.AS,LSTM Hao 2020,0,-0.13897722959518433,0
3,URW.AS,LSTM Hao 2020,0,-0.1330472230911255,0
4,URW.AS,LSTM Hao 2020,0,-0.13927894830703735,0
5,URW.AS,LSTM Hao 2020,0,-0.13044464588165283,0
6,URW.AS,LSTM Hao 2020,0,-0.12902963161468506,0
7,URW.AS,LSTM Hao 2020,0,-0.13189110159873962,0
8,URW.AS,LSTM Hao 2020,0,-0.1232839897274971,0
9,URW.AS,LSTM Hao 2020,0,-0.12587709724903107,0
10,URW.AS,LSTM Hao 2020,0,-0.12489926069974899,0
11,URW.AS,LSTM Hao 2020,0,-0.11610344797372818,1
12,URW.AS,LSTM Hao 2020,1,-0.1095414087176323,1
13,URW.AS,LSTM Hao 2020,0,-0.09702186286449432,1
14,URW.AS,LSTM Hao 2020,0,-0.0970490500330925,1
15,URW.AS,LSTM Hao 2020,0,-0.09430717676877975,1
16,URW.AS,LSTM Hao 2020,0,-0.08514419943094254,1
17,URW.AS,LSTM Hao 2020,0,-0.08172179013490677,1
18,URW.AS,LSTM Hao 2020,1,-0.08014538884162903,1
19,URW.AS,LSTM Hao 2020,0,-0.07179074734449387,1
20,URW.AS,LSTM Hao 2020,1,-0.06260118633508682,1
21,URW.AS,LSTM Hao 2020,1,-0.060459330677986145,1
22,URW.AS,LSTM Hao 2020,1,-0.052364036440849304,1
23,URW.AS,LSTM Hao 2020,1,-0.049445152282714844,1
24,URW.AS,LSTM Hao 2020,1,-0.04810423403978348,1
25,URW.AS,LSTM Hao 2020,1,-0.04015439748764038,1
26,URW.AS,LSTM Hao 2020,1,-0.04436524957418442,1
27,URW.AS,LSTM Hao 2020,1,-0.04299834370613098,1
28,URW.AS,LSTM Hao 2020,1,-0.039680756628513336,1
29,URW.AS,LSTM Hao 2020,1,-0.04695538431406021,1
30,URW.AS,LSTM Hao 2020,1,-0.045779749751091,1
31,URW.AS,LSTM Hao 2020,1,-0.051895275712013245,1
32,URW.AS,LSTM Hao 2020,0,-0.04800958186388016,1
33,URW.AS,LSTM Hao 2020,0,-0.053174614906311035,1
34,URW.AS,LSTM Hao 2020,0,-0.06951429694890976,1
35,URW.AS,LSTM Hao 2020,0,-0.06793152540922165,1
36,URW.AS,LSTM Hao 2020,0,-0.07460331916809082,1
37,URW.AS,LSTM Hao 2020,0,-0.08722316473722458,1
38,URW.AS,LSTM Hao 2020,0,-0.078353650867939,1
39,URW.AS,LSTM Hao 2020,0,-0.08868566155433655,1
40,URW.AS,LSTM Hao 2020,1,-0.08964649587869644,1
41,URW.AS,LSTM Hao 2020,1,-0.08962208032608032,1
42,URW.AS,LSTM Hao 2020,1,-0.10050546377897263,1
43,URW.AS,LSTM Hao 2020,1,-0.0987258106470108,1
44,URW.AS,LSTM Hao 2020,1,-0.10227180272340775,1
45,URW.AS,LSTM Hao 2020,1,-0.10748744010925293,1
46,URW.AS,LSTM Hao 2020,1,-0.09714566171169281,1
47,URW.AS,LSTM Hao 2020,1,-0.10244187712669373,1
48,URW.AS,LSTM Hao 2020,1,-0.10441039502620697,1
49,URW.AS,LSTM Hao 2020,1,-0.11163529008626938,1
50,URW.AS,LSTM Hao 2020,1,-0.11694429069757462,1
51,URW.AS,LSTM Hao 2020,1,-0.11707378178834915,1
52,URW.AS,LSTM Hao 2020,1,-0.1294981837272644,0
53,URW.AS,LSTM Hao 2020,1,-0.13342265784740448,0
54,URW.AS,LSTM Hao 2020,1,-0.13200724124908447,0
55,URW.AS,LSTM Hao 2020,1,-0.14032383263111115,0
56,URW.AS,LSTM Hao 2020,0,-0.14130547642707825,0
57,URW.AS,LSTM Hao 2020,0,-0.15090632438659668,0
58,URW.AS,LSTM Hao 2020,0,-0.15447896718978882,0
59,URW.AS,LSTM Hao 2020,0,-0.16014516353607178,0
60,URW.AS,LSTM Hao 2020,0,-0.16806551814079285,0
61,URW.AS,LSTM Hao 2020,0,-0.16923780739307404,0
62,URW.AS,LSTM Hao 2020,0,-0.1704462766647339,0
63,URW.AS,LSTM Hao 2020,0,-0.1726856678724289,0
64,URW.AS,LSTM Hao 2020,0,-0.17426246404647827,0
65,URW.AS,LSTM Hao 2020,0,-0.17904798686504364,0
66,URW.AS,LSTM Hao 2020,0,-0.17526885867118835,0
67,URW.AS,LSTM Hao 2020,1,-0.18206630647182465,0
68,URW.AS,LSTM Hao 2020,1,-0.18358731269836426,0
69,URW.AS,LSTM Hao 2020,0,-0.18450725078582764,0
70,URW.AS,LSTM Hao 2020,0,-0.18606799840927124,0
71,URW.AS,LSTM Hao 2020,1,-0.18198461830615997,0
72,URW.AS,LSTM Hao 2020,1,-0.18330709636211395,0
73,URW.AS,LSTM Hao 2020,1,-0.18245597183704376,0
74,URW.AS,LSTM Hao 2020,0,-0.1827143132686615,0
75,URW.AS,LSTM Hao 2020,1,-0.18569236993789673,0
76,URW.AS,LSTM Hao 2020,1,-0.1849629431962967,0
77,URW.AS,LSTM Hao 2020,0,-0.186869814991951,0
78,URW.AS,LSTM Hao 2020,0,-0.18454603850841522,0
79,URW.AS,LSTM Hao 2020,0,-0.18431024253368378,0
80,URW.AS,LSTM Hao 2020,1,-0.06481777876615524,1
81,URW.AS,LSTM Hao 2020,1,-0.05858437716960907,1
82,URW.AS,LSTM Hao 2020,1,-0.05083760619163513,1
83,URW.AS,LSTM Hao 2020,0,-0.0481865257024765,1
84,URW.AS,LSTM Hao 2020,1,-0.04586029052734375,1
85,URW.AS,LSTM Hao 2020,1,-0.04327177256345749,1
86,URW.AS,LSTM Hao 2020,1,-0.04805999994277954,1
87,URW.AS,LSTM Hao 2020,1,-0.0522923618555069,1
88,URW.AS,LSTM Hao 2020,1,-0.05261053144931793,1
89,URW.AS,LSTM Hao 2020,1,-0.054324984550476074,1
90,URW.AS,LSTM Hao 2020,0,-0.0557221844792366,1
91,URW.AS,LSTM Hao 2020,0,-0.060439832508563995,1
92,URW.AS,LSTM Hao 2020,0,-0.059900157153606415,1
93,URW.AS,LSTM Hao 2020,0,-0.06468706578016281,1
94,URW.AS,LSTM Hao 2020,0,-0.06717737019062042,1
95,URW.AS,LSTM Hao 2020,0,-0.07907162606716156,1
96,URW.AS,LSTM Hao 2020,0,-0.08287295699119568,1
97,URW.AS,LSTM Hao 2020,0,-0.09145849198102951,1
98,URW.AS,LSTM Hao 2020,0,-0.09845045208930969,1
99,URW.AS,LSTM Hao 2020,0,-0.10348781943321228,1
100,URW.AS,LSTM Hao 2020,1,-0.10847342014312744,1
101,URW.AS,LSTM Hao 2020,0,-0.10240460932254791,1
102,URW.AS,LSTM Hao 2020,0,-0.09533645212650299,1
103,URW.AS,LSTM Hao 2020,1,-0.09939984977245331,1
